batch_id,inspection_date,inspector_id,pass_fail,defect_type,defect_rate_pct,rework_flag
BATCH-2023-0035,2024-04-12,QC-01,PASS,,0.0,N
BATCH-2023-0036,2023-04-23,QC-04,PASS,,0.39,N
BATCH-2023-0037,2023-10-25,QC-04,PASS,,0.49,Y
BATCH-2023-0038,2023-05-18,QC-08,PASS,,0.23,N
BATCH-2023-0039,2023-08-18,QC-02,PASS,,0.21,N
BATCH-2023-0040,2023-05-29,QC-07,PASS,,0.13,Y
BATCH-2023-0041,2023-12-06,QC-06,PASS,,0.02,N
BATCH-2023-0042,2023-08-02,QC-02,PASS,,0.45,Y
BATCH-2023-0043,2024-06-16,QC-06,PASS,,0.48,N
BATCH-2023-0044,2023-10-16,QC-07,PASS,,0.34,N
BATCH-2023-0045,2023-10-25,QC-03,PASS,,0.19,Y
BATCH-2023-0046,2024-06-14,QC-07,PASS,,0.04,N
BATCH-2023-0047,2023-06-18,QC-07,PASS,,0.09,N
BATCH-2023-0048,2024-06-05,QC-02,PASS,,0.02,N
BATCH-2023-0049,2024-03-26,QC-05,PASS,,0.41,Y
BATCH-2023-0050,2024-05-30,QC-03,PASS,,0.04,N
BATCH-2023-0051,2023-04-16,QC-04,PASS,,0.18,Y
BATCH-2023-0052,2023-05-24,QC-08,PASS,,0.26,N
BATCH-2023-0053,2023-09-27,QC-07,PASS,,0.14,N
BATCH-2023-0054,2024-06-28,QC-07,PASS,,0.37,N
BATCH-2023-0055,2023-08-25,QC-08,PASS,,0.14,N
BATCH-2023-0056,2024-04-02,QC-03,PASS,,0.06,N
BATCH-2023-0057,2024-04-11,QC-04,PASS,,0.34,Y
BATCH-2023-0058,2023-01-27,QC-08,PASS,,0.33,Y
BATCH-2023-0059,2024-03-29,QC-02,PASS,,0.1,N
BATCH-2023-0060,2023-10-04,QC-03,PASS,,0.17,N
BATCH-2023-0061,2024-04-07,QC-08,PASS,,0.29,Y
BATCH-2023-0062,2023-12-11,QC-07,PASS,,0.05,Y
BATCH-2023-0063,2023-06-04,QC-04,PASS,,0.14,N
BATCH-2023-0064,2023-02-03,QC-07,PASS,,0.44,N
BATCH-2023-0065,2024-04-07,QC-06,PASS,,0.25,N
BATCH-2023-0066,2024-05-28,QC-05,PASS,,0.36,Y
BATCH-2023-0067,2023-03-11,QC-01,PASS,,0.14,N
BATCH-2023-0068,2023-12-08,QC-08,PASS,,0.26,N
BATCH-2023-0069,2024-02-20,QC-07,PASS,,0.03,N
BATCH-2023-0070,2023-07-11,QC-08,PASS,,0.29,N
BATCH-2023-0071,2024-05-20,QC-01,PASS,,0.36,N
BATCH-2023-0072,2023-07-07,QC-01,PASS,,0.47,N
BATCH-2023-0073,2024-06-07,QC-04,PASS,,0.36,N
BATCH-2023-0074,2023-04-21,QC-04,PASS,,0.44,N
BATCH-2023-0075,2024-06-03,QC-04,PASS,,0.14,Y
BATCH-2023-0076,2023-06-03,QC-07,PASS,,0.4,N
BATCH-2023-0077,2023-09-16,QC-06,PASS,,0.24,N
BATCH-2023-0078,2023-07-02,QC-03,PASS,,0.1,N
BATCH-2023-0079,2024-06-18,QC-05,FAIL,edgecrack,2.36,Y
BATCH-2023-0080,2023-12-06,QC-05,PASS,,0.45,N
BATCH-2023-0081,2023-05-11,QC-03,PASS,,0.0,N
BATCH-2023-0082,2024-04-08,QC-02,PASS,,0.5,N
BATCH-2023-0083,2023-10-19,QC-04,PASS,,0.43,Y
BATCH-2023-0084,2024-04-17,QC-03,PASS,,0.12,N
BATCH-2023-0085,2023-10-31,QC-01,PASS,,0.27,N
BATCH-2023-0086,2024-05-18,QC-04,PASS,,0.21,N
BATCH-2023-0087,2023-04-22,QC-03,PASS,,0.23,N
BATCH-2023-0088,2023-11-22,QC-01,FAIL,surface_delamination,3.8,N
BATCH-2023-0089,2023-07-08,QC-03,PASS,,0.09,N
BATCH-2023-0090,2023-06-22,QC-02,PASS,,0.02,N
BATCH-2023-0091,2023-07-15,QC-08,PASS,,0.36,Y
BATCH-2023-0092,2024-02-23,QC-05,FAIL,DimDev,0.54,N
BATCH-2023-0093,2024-01-06,QC-06,PASS,,0.12,N
BATCH-2023-0094,2023-01-08,QC-01,FAIL,dim_deviation,1.2,N
BATCH-2023-0095,2023-11-03,QC-05,PASS,,0.4,Y
BATCH-2023-0096,2023-04-14,QC-01,PASS,,0.31,N
BATCH-2023-0097,2023-02-26,QC-05,PASS,,0.4,Y
BATCH-2023-0098,2023-01-02,QC-07,PASS,,0.2,N
BATCH-2023-0099,2023-04-22,QC-02,PASS,,0.19,N
BATCH-2023-0100,2023-08-18,QC-03,PASS,,0.14,N
BATCH-2023-0101,2023-07-19,QC-03,FAIL,surface delamination,1.48,Y
BATCH-2023-0102,2023-05-20,QC-06,PASS,,0.29,Y
BATCH-2023-0103,2023-08-28,QC-06,PASS,,0.09,Y
BATCH-2023-0104,2023-10-03,QC-02,PASS,,0.05,N
BATCH-2023-0105,2023-03-28,QC-06,PASS,,0.03,N
BATCH-2023-0106,2023-01-01,QC-06,PASS,,0.48,N
BATCH-2023-0107,2023-07-03,QC-02,PASS,,0.15,N
BATCH-2023-0108,2023-11-28,QC-02,PASS,,0.43,N
BATCH-2023-0109,2024-04-24,QC-02,PASS,,0.06,N
BATCH-2023-0110,2023-04-19,QC-02,PASS,,0.01,Y
BATCH-2023-0111,2023-08-03,QC-02,PASS,,0.4,N
BATCH-2023-0112,2023-03-22,QC-05,PASS,,0.5,Y
BATCH-2023-0113,2023-11-05,QC-03,PASS,,0.0,Y
BATCH-2023-0114,2024-01-25,QC-03,PASS,,0.33,Y
BATCH-2023-0115,2023-07-12,QC-03,PASS,,0.31,N
BATCH-2023-0116,2023-05-29,QC-04,PASS,,0.38,N
BATCH-2023-0117,2023-05-10,QC-01,PASS,,0.49,N
BATCH-2023-0118,2024-04-20,QC-02,PASS,,0.21,N
BATCH-2023-0119,2023-05-26,QC-08,PASS,,0.42,N
BATCH-2023-0120,2023-04-10,QC-04,PASS,,0.35,Y
BATCH-2023-0121,2023-05-14,QC-06,PASS,,0.29,N
BATCH-2023-0122,2023-11-13,QC-08,PASS,,0.37,Y
BATCH-2023-0123,2024-02-10,QC-07,PASS,,0.1,N
BATCH-2023-0124,2023-04-29,QC-03,PASS,,0.42,Y
BATCH-2023-0125,2023-05-20,QC-03,PASS,,0.48,N
BATCH-2023-0126,2023-05-25,QC-07,PASS,,0.13,Y
BATCH-2023-0127,2024-06-16,QC-05,PASS,,0.2,N
BATCH-2023-0128,2024-03-18,QC-03,PASS,,0.05,N
BATCH-2023-0129,2024-06-14,QC-02,PASS,,0.27,Y
BATCH-2023-0130,2023-07-10,QC-08,PASS,,0.15,Y
BATCH-2023-0131,2023-02-06,QC-06,PASS,,0.24,N
BATCH-2023-0132,2023-04-09,QC-08,PASS,,0.39,N
BATCH-2023-0133,2024-06-09,QC-02,PASS,,0.09,N
BATCH-2023-0134,2024-01-03,QC-04,PASS,,0.11,N
BATCH-2023-0135,2023-01-22,QC-03,PASS,,0.41,N
BATCH-2023-0136,2023-07-21,QC-04,PASS,,0.25,Y
BATCH-2023-0137,2023-02-21,QC-06,FAIL,dim_deviation,4.14,N
BATCH-2023-0138,2024-06-20,QC-01,FAIL,edgecrack,1.54,N
BATCH-2023-0139,2024-01-02,QC-07,PASS,,0.03,N
BATCH-2023-0140,2023-03-22,QC-08,PASS,,0.41,N
BATCH-2023-0141,2023-12-20,QC-01,PASS,,0.39,N
BATCH-2023-0142,2023-11-05,QC-03,PASS,,0.15,Y
BATCH-2023-0143,2024-01-10,QC-05,PASS,,0.14,Y
BATCH-2023-0144,2023-03-16,QC-02,PASS,,0.26,N
BATCH-2023-0145,2023-10-19,QC-05,PASS,,0.29,N
BATCH-2023-0146,2024-06-09,QC-04,PASS,,0.09,N
BATCH-2023-0147,2024-05-27,QC-08,PASS,,0.29,N
BATCH-2023-0148,2024-02-25,QC-04,PASS,,0.48,Y
BATCH-2023-0149,2023-11-25,QC-06,PASS,,0.31,Y
BATCH-2023-0150,2023-11-08,QC-08,PASS,,0.4,N
BATCH-2023-0151,2024-03-20,QC-04,PASS,,0.03,N
BATCH-2023-0152,2023-01-14,QC-06,PASS,,0.46,N
BATCH-2023-0153,2023-05-04,QC-05,PASS,,0.08,N
BATCH-2023-0154,2023-03-27,QC-07,PASS,,0.49,N
BATCH-2023-0155,2024-01-13,QC-07,PASS,,0.45,N
BATCH-2023-0156,2023-08-16,QC-01,PASS,,0.21,Y
BATCH-2023-0157,2023-07-17,QC-04,PASS,,0.15,N
BATCH-2023-0158,2023-03-22,QC-06,PASS,,0.44,N
BATCH-2023-0159,2024-01-09,QC-06,PASS,,0.01,N
BATCH-2023-0160,2023-09-28,QC-07,PASS,,0.42,N
BATCH-2023-0161,2023-05-30,QC-04,PASS,,0.17,N
BATCH-2023-0162,2024-04-30,QC-08,PASS,,0.18,N
BATCH-2023-0163,2023-05-06,QC-07,PASS,,0.33,N
BATCH-2023-0164,2023-11-20,QC-08,PASS,,0.2,N
BATCH-2023-0165,2023-09-07,QC-07,PASS,,0.2,N
BATCH-2023-0166,2024-04-03,QC-02,PASS,,0.2,Y
BATCH-2023-0167,2024-02-04,QC-04,FAIL,dimensional deviation,2.34,N
BATCH-2023-0168,2024-02-21,QC-03,PASS,,0.29,N
BATCH-2023-0169,2023-06-26,QC-06,PASS,,0.1,Y
BATCH-2023-0170,2024-06-23,QC-04,PASS,,0.09,N
BATCH-2023-0171,2024-04-03,QC-05,PASS,,0.14,Y
BATCH-2023-0172,2023-09-11,QC-07,PASS,,0.11,Y
BATCH-2023-0173,2024-03-11,QC-08,PASS,,0.48,N
BATCH-2023-0174,2023-08-08,QC-05,PASS,,0.02,N
BATCH-2023-0175,2024-01-07,QC-05,FAIL,edge_crack,2.21,Y
BATCH-2023-0176,2024-06-07,QC-05,PASS,,0.2,N
BATCH-2023-0177,2024-05-20,QC-07,PASS,,0.39,Y
BATCH-2023-0178,2024-01-15,QC-08,PASS,,0.33,N
BATCH-2023-0179,2023-01-27,QC-04,PASS,,0.4,N
BATCH-2023-0180,2023-06-23,QC-05,PASS,,0.1,N
BATCH-2023-0181,2023-07-02,QC-03,PASS,,0.22,N
BATCH-2023-0182,2023-05-26,QC-02,PASS,,0.31,N
BATCH-2023-0183,2023-12-11,QC-07,PASS,,0.19,N
BATCH-2023-0184,2023-02-27,QC-07,PASS,,0.5,Y
BATCH-2023-0185,2024-05-24,QC-08,PASS,,0.45,N
BATCH-2023-0186,2024-02-28,QC-06,PASS,,0.33,N
BATCH-2023-0187,2024-04-15,QC-07,PASS,,0.47,N
BATCH-2023-0188,2024-04-25,QC-02,PASS,,0.4,N
BATCH-2023-0189,2023-06-11,QC-07,PASS,,0.45,Y
BATCH-2023-0190,2023-05-11,QC-04,PASS,,0.33,N
BATCH-2023-0191,2023-09-19,QC-06,PASS,,0.29,N
BATCH-2023-0192,2023-03-31,QC-08,PASS,,0.34,N
BATCH-2023-0193,2023-07-08,QC-07,PASS,,0.36,Y
BATCH-2023-0194,2023-03-16,QC-01,PASS,,0.26,N
BATCH-2023-0195,2023-03-14,QC-04,PASS,,0.24,N
BATCH-2023-0196,2024-05-17,QC-01,PASS,,0.38,N
BATCH-2023-0197,2023-12-26,QC-07,PASS,,0.37,N
BATCH-2023-0198,2023-07-17,QC-04,PASS,,0.0,Y
BATCH-2023-0199,2023-07-24,QC-07,PASS,,0.16,Y
BATCH-2023-0200,2023-07-07,QC-05,PASS,,0.2,N
BATCH-2023-0201,2023-03-07,QC-01,PASS,,0.29,N
BATCH-2023-0202,2024-06-24,QC-07,FAIL,dimensional deviation,4.0,N
BATCH-2023-0203,2023-01-29,QC-05,PASS,,0.33,Y
BATCH-2023-0204,2023-04-11,QC-07,PASS,,0.38,Y
BATCH-2023-0205,2023-04-11,QC-04,PASS,,0.32,Y
BATCH-2023-0206,2024-06-22,QC-06,PASS,,0.16,N
BATCH-2023-0207,2023-01-14,QC-05,PASS,,0.21,Y
BATCH-2023-0208,2023-11-19,QC-08,PASS,,0.46,N
BATCH-2023-0209,2024-06-19,QC-08,PASS,,0.34,N
BATCH-2023-0210,2023-02-24,QC-03,PASS,,0.5,N
BATCH-2023-0211,2024-04-15,QC-02,PASS,,0.12,N
BATCH-2023-0212,2023-05-26,QC-08,PASS,,0.3,N
BATCH-2023-0213,2023-09-27,QC-05,PASS,,0.14,N
BATCH-2023-0214,2023-01-24,QC-06,PASS,,0.27,N
BATCH-2023-0215,2023-03-05,QC-02,PASS,,0.1,N
BATCH-2023-0216,2023-10-11,QC-06,PASS,,0.04,N
BATCH-2023-0217,2023-10-30,QC-06,PASS,,0.09,N
BATCH-2023-0218,2023-02-18,QC-06,PASS,,0.22,Y
BATCH-2023-0219,2024-02-26,QC-04,PASS,,0.46,N
BATCH-2023-0220,2023-04-02,QC-08,PASS,,0.22,N
BATCH-2023-0221,2023-12-27,QC-07,PASS,,0.46,N
BATCH-2023-0222,2023-12-08,QC-08,PASS,,0.38,Y
BATCH-2023-0223,2023-03-03,QC-02,PASS,,0.32,N
BATCH-2023-0224,2023-09-06,QC-05,PASS,,0.42,N
BATCH-2023-0225,2023-06-07,QC-03,PASS,,0.42,N
BATCH-2023-0226,2023-05-07,QC-04,PASS,,0.2,N
BATCH-2023-0227,2024-04-02,QC-02,PASS,,0.12,N
BATCH-2023-0228,2023-05-12,QC-02,FAIL,edgecrack,1.74,N
BATCH-2023-0229,2024-01-25,QC-03,PASS,,0.21,N
BATCH-2023-0230,2024-06-07,QC-08,PASS,,0.39,Y
BATCH-2023-0231,2024-02-16,QC-05,PASS,,0.13,N
BATCH-2023-0232,2023-05-03,QC-01,PASS,,0.12,N
BATCH-2023-0233,2023-02-26,QC-08,PASS,,0.29,Y
BATCH-2023-0234,2024-03-22,QC-08,FAIL,dimensional deviation,0.66,N
BATCH-2023-0235,2023-11-27,QC-04,PASS,,0.32,N
BATCH-2023-0236,2024-05-19,QC-02,PASS,,0.33,N
BATCH-2023-0237,2024-01-07,QC-07,PASS,,0.06,N
BATCH-2023-0238,2023-03-25,QC-01,PASS,,0.01,Y
BATCH-2023-0239,2023-08-07,QC-02,PASS,,0.34,N
BATCH-2023-0240,2024-02-13,QC-08,PASS,,0.11,N
BATCH-2023-0241,2023-08-23,QC-01,PASS,,0.14,Y
BATCH-2023-0242,2023-07-22,QC-06,PASS,,0.49,Y
BATCH-2023-0243,2023-05-12,QC-01,PASS,,0.37,N
BATCH-2023-0244,2023-12-18,QC-01,PASS,,0.36,N
BATCH-2023-0245,2023-12-05,QC-02,PASS,,0.45,Y
BATCH-2023-0246,2023-08-17,QC-03,PASS,,0.26,Y
BATCH-2023-0247,2023-09-10,QC-07,PASS,,0.44,N
BATCH-2023-0248,2023-08-28,QC-04,PASS,,0.26,N
BATCH-2023-0249,2024-05-09,QC-07,PASS,,0.47,N
BATCH-2023-0250,2023-02-25,QC-01,PASS,,0.31,N
BATCH-2023-0251,2024-06-01,QC-08,PASS,,0.01,N
BATCH-2023-0252,2023-10-03,QC-04,PASS,,0.22,N
BATCH-2023-0253,2024-04-06,QC-01,FAIL,dim_deviation,1.99,N
BATCH-2023-0254,2023-12-12,QC-06,PASS,,0.37,N
BATCH-2023-0255,2024-06-08,QC-08,PASS,,0.12,N
BATCH-2023-0256,2023-09-30,QC-04,PASS,,0.02,Y
BATCH-2023-0257,2024-04-11,QC-05,PASS,,0.14,N
BATCH-2023-0258,2024-03-11,QC-01,FAIL,SurfDeLam,3.54,Y
BATCH-2023-0259,2023-08-14,QC-04,PASS,,0.23,N
BATCH-2023-0260,2024-03-09,QC-01,PASS,,0.23,Y
BATCH-2023-0261,2023-07-05,QC-08,PASS,,0.35,Y
BATCH-2023-0262,2024-02-26,QC-06,PASS,,0.12,N
BATCH-2023-0263,2023-11-04,QC-04,PASS,,0.43,N
BATCH-2023-0264,2023-01-09,QC-06,PASS,,0.26,N
BATCH-2023-0265,2023-09-15,QC-08,PASS,,0.21,Y
BATCH-2023-0266,2024-05-22,QC-01,PASS,,0.34,N
BATCH-2023-0267,2024-03-30,QC-01,PASS,,0.39,N
BATCH-2023-0268,2023-11-14,QC-05,PASS,,0.4,N
BATCH-2023-0269,2024-01-15,QC-03,PASS,,0.29,N
BATCH-2023-0270,2023-01-07,QC-08,PASS,,0.14,N
BATCH-2023-0271,2024-06-02,QC-04,PASS,,0.09,Y
BATCH-2023-0272,2024-06-17,QC-08,PASS,,0.02,N
BATCH-2023-0273,2023-09-21,QC-07,PASS,,0.2,Y
BATCH-2023-0274,2023-03-26,QC-07,PASS,,0.14,N
BATCH-2023-0275,2023-04-17,QC-08,PASS,,0.03,N
BATCH-2023-0276,2023-05-02,QC-01,PASS,,0.48,N
BATCH-2023-0277,2023-05-13,QC-07,PASS,,0.1,N
BATCH-2023-0278,2023-02-02,QC-03,PASS,,0.21,N
BATCH-2023-0279,2024-05-19,QC-07,PASS,,0.37,N
BATCH-2023-0280,2024-01-28,QC-07,PASS,,0.17,N
BATCH-2023-0281,2023-01-29,QC-04,PASS,,0.11,N
BATCH-2023-0282,2023-06-20,QC-05,PASS,,0.06,N
BATCH-2023-0283,2023-10-09,QC-08,PASS,,0.04,N
BATCH-2023-0284,2023-04-14,QC-06,PASS,,0.34,Y
BATCH-2023-0285,2023-07-28,QC-03,PASS,,0.21,N
BATCH-2023-0286,2024-06-29,QC-01,PASS,,0.47,N
BATCH-2023-0287,2023-01-29,QC-06,PASS,,0.24,N
BATCH-2023-0288,2024-06-05,QC-01,FAIL,surface delamination,1.4,N
BATCH-2023-0289,2023-06-05,QC-08,PASS,,0.5,N
BATCH-2023-0290,2024-05-16,QC-06,PASS,,0.1,Y
BATCH-2023-0291,2024-02-04,QC-08,PASS,,0.07,Y
BATCH-2023-0292,2023-10-02,QC-08,PASS,,0.04,N
BATCH-2023-0293,2023-07-27,QC-02,PASS,,0.06,N
BATCH-2023-0294,2023-02-21,QC-07,PASS,,0.1,N
BATCH-2023-0295,2024-06-07,QC-07,PASS,,0.45,Y
BATCH-2023-0296,2023-03-09,QC-03,PASS,,0.37,N
BATCH-2023-0297,2023-10-02,QC-01,PASS,,0.14,N
BATCH-2023-0298,2023-02-16,QC-04,PASS,,0.36,N
BATCH-2023-0299,2024-04-20,QC-05,PASS,,0.45,N
BATCH-2023-0300,2024-06-05,QC-06,PASS,,0.15,N
BATCH-2023-0301,2024-01-07,QC-05,PASS,,0.0,N
BATCH-2023-0302,2024-04-23,QC-06,PASS,,0.19,N
BATCH-2023-0303,2024-06-17,QC-07,PASS,,0.11,N
BATCH-2023-0304,2023-12-17,QC-04,PASS,,0.04,N
BATCH-2023-0305,2023-07-24,QC-04,PASS,,0.41,N
BATCH-2023-0306,2024-02-09,QC-05,PASS,,0.4,Y
BATCH-2023-0307,2023-11-03,QC-05,PASS,,0.3,N
BATCH-2023-0308,2023-05-30,QC-01,PASS,,0.48,N
BATCH-2023-0309,2024-01-01,QC-02,PASS,,0.23,N
BATCH-2023-0310,2024-06-03,QC-07,PASS,,0.24,N
BATCH-2023-0311,2023-06-17,QC-07,PASS,,0.36,Y
BATCH-2023-0312,2023-11-17,QC-03,PASS,,0.01,N
BATCH-2023-0313,2023-06-11,QC-05,FAIL,SurfDeLam,0.69,N
BATCH-2023-0314,2023-03-09,QC-03,PASS,,0.19,N
BATCH-2023-0315,2023-10-25,QC-04,PASS,,0.08,N
BATCH-2023-0316,2023-06-09,QC-01,PASS,,0.08,N
BATCH-2023-0317,2024-01-11,QC-07,PASS,,0.18,N
BATCH-2023-0318,2023-07-14,QC-08,PASS,,0.03,Y
BATCH-2023-0319,2023-02-22,QC-06,PASS,,0.03,N
BATCH-2023-0320,2023-08-28,QC-03,PASS,,0.49,N
BATCH-2023-0321,2023-09-19,QC-04,PASS,,0.23,N
BATCH-2023-0322,2023-03-15,QC-06,PASS,,0.05,N
BATCH-2023-0323,2024-04-28,QC-02,PASS,,0.34,N
BATCH-2023-0324,2024-06-01,QC-02,PASS,,0.46,N
BATCH-2023-0325,2024-06-25,QC-07,PASS,,0.39,N
BATCH-2023-0326,2024-06-14,QC-05,PASS,,0.1,Y
BATCH-2023-0327,2024-01-08,QC-08,PASS,,0.23,Y
BATCH-2023-0328,2023-07-01,QC-02,PASS,,0.2,Y
BATCH-2023-0329,2023-09-22,QC-08,PASS,,0.41,Y
BATCH-2023-0330,2023-02-15,QC-07,PASS,,0.38,N
BATCH-2023-0331,2023-02-09,QC-01,PASS,,0.26,N
BATCH-2023-0332,2024-03-02,QC-02,PASS,,0.46,N
BATCH-2023-0333,2023-03-26,QC-01,PASS,,0.1,N
BATCH-2023-0334,2023-10-28,QC-03,PASS,,0.23,N
BATCH-2023-0335,2023-07-18,QC-08,PASS,,0.48,N
BATCH-2023-0336,2023-10-09,QC-08,PASS,,0.12,Y
BATCH-2023-0337,2024-02-08,QC-01,PASS,,0.49,N
BATCH-2023-0338,2023-06-10,QC-03,PASS,,0.45,N
BATCH-2023-0339,2023-08-28,QC-07,PASS,,0.08,N
BATCH-2023-0340,2023-04-15,QC-05,FAIL,surface delamination,1.66,N
BATCH-2023-0341,2024-05-27,QC-07,PASS,,0.02,N
BATCH-2023-0342,2023-01-19,QC-04,PASS,,0.05,Y
BATCH-2023-0343,2023-12-04,QC-04,PASS,,0.34,N
BATCH-2023-0344,2023-12-24,QC-03,PASS,,0.1,N
BATCH-2023-0345,2023-10-16,QC-08,PASS,,0.45,N
BATCH-2023-0346,2023-05-08,QC-08,PASS,,0.34,Y
BATCH-2023-0347,2023-05-04,QC-08,PASS,,0.11,N
BATCH-2023-0348,2024-06-15,QC-03,PASS,,0.07,N
BATCH-2023-0349,2024-04-13,QC-06,PASS,,0.35,N
BATCH-2023-0350,2024-06-26,QC-08,PASS,,0.1,Y
BATCH-2023-0351,2023-10-16,QC-01,PASS,,0.16,N
BATCH-2023-0352,2023-12-27,QC-04,PASS,,0.24,N
BATCH-2023-0353,2023-07-26,QC-07,PASS,,0.06,Y
BATCH-2023-0354,2023-06-11,QC-05,PASS,,0.02,Y
BATCH-2023-0355,2024-04-26,QC-02,PASS,,0.05,N
BATCH-2023-0356,2024-03-06,QC-08,PASS,,0.23,N
BATCH-2023-0357,2023-01-11,QC-01,PASS,,0.34,N
BATCH-2023-0358,2023-11-08,QC-06,PASS,,0.48,N
BATCH-2023-0359,2024-01-14,QC-04,PASS,,0.07,N
BATCH-2023-0360,2024-02-11,QC-06,PASS,,0.1,N
BATCH-2023-0361,2023-10-08,QC-08,PASS,,0.13,Y
BATCH-2023-0362,2023-11-19,QC-02,PASS,,0.08,N
BATCH-2023-0363,2023-09-05,QC-07,PASS,,0.32,N
BATCH-2023-0364,2023-04-09,QC-03,PASS,,0.02,N
BATCH-2023-0365,2023-08-30,QC-05,PASS,,0.26,Y
BATCH-2023-0366,2023-01-18,QC-06,PASS,,0.24,N
BATCH-2023-0367,2024-04-28,QC-01,PASS,,0.39,N
BATCH-2023-0368,2023-07-30,QC-08,PASS,,0.02,N
BATCH-2023-0369,2024-05-26,QC-03,PASS,,0.2,N
BATCH-2023-0370,2024-01-25,QC-03,PASS,,0.45,N
BATCH-2023-0371,2023-09-07,QC-02,PASS,,0.0,Y
BATCH-2023-0372,2024-05-11,QC-05,PASS,,0.15,Y
BATCH-2023-0373,2023-12-02,QC-02,PASS,,0.4,N
BATCH-2023-0374,2024-02-23,QC-01,PASS,,0.3,N
BATCH-2023-0375,2023-06-15,QC-08,PASS,,0.21,Y
BATCH-2023-0376,2024-01-06,QC-01,PASS,,0.04,Y
BATCH-2023-0377,2024-05-12,QC-02,PASS,,0.3,N
BATCH-2023-0378,2023-04-09,QC-08,PASS,,0.07,N
BATCH-2023-0379,2024-06-21,QC-05,PASS,,0.13,N
BATCH-2023-0380,2023-08-06,QC-02,PASS,,0.18,Y
BATCH-2023-0381,2023-11-27,QC-02,PASS,,0.43,N
BATCH-2023-0382,2024-06-25,QC-03,PASS,,0.37,N
BATCH-2023-0383,2024-04-17,QC-01,PASS,,0.39,Y
BATCH-2023-0384,2023-04-18,QC-07,PASS,,0.13,N
BATCH-2023-0385,2024-05-17,QC-06,PASS,,0.34,N
BATCH-2023-0386,2024-04-15,QC-03,PASS,,0.29,N
BATCH-2023-0387,2023-12-22,QC-08,FAIL,EdgeCrack,3.27,N
BATCH-2023-0388,2023-11-21,QC-05,PASS,,0.05,Y
BATCH-2023-0389,2023-01-07,QC-01,PASS,,0.1,N
BATCH-2023-0390,2024-02-22,QC-05,PASS,,0.08,N
BATCH-2023-0391,2024-03-14,QC-08,PASS,,0.21,N
BATCH-2023-0392,2024-03-02,QC-02,PASS,,0.25,N
BATCH-2023-0393,2023-01-30,QC-03,PASS,,0.36,N
BATCH-2023-0394,2024-06-07,QC-01,PASS,,0.1,N
BATCH-2023-0395,2023-06-07,QC-01,PASS,,0.38,N
BATCH-2023-0396,2023-06-15,QC-03,PASS,,0.05,N
BATCH-2023-0397,2023-03-29,QC-08,PASS,,0.39,N
BATCH-2023-0398,2023-07-08,QC-06,PASS,,0.48,N
BATCH-2023-0399,2024-03-01,QC-02,PASS,,0.21,N
BATCH-2023-0400,2023-08-14,QC-03,PASS,,0.16,N
BATCH-2023-0401,2023-03-12,QC-02,PASS,,0.02,Y
