batch_id,inspection_date,inspector_id,product_type,pass_fail,defect_type,defect_rate_pct,rework_flag,sample_size,defects_found,measurement_tool,hold_released,customer_specific,remarks
BATCH-2021-0307,23-Nov-2021,QC-07,Drum Brake Assy,PASS,,4.9421,Y,155.0,0.0,Hardness tester,Y,,Customer concession raised
BATCH-2023-0130,2021-09-10,QC-08,Clutch Plate,PASS,,3.6784,Y,174.0,,Height gauge,N,,Waived by OEM
BATCH-2024-0210,2024-01-18,QC-06,Brake Pad Type B,FAIL,Porosity – casting defect,5.8878,Y,141.0,14.0,Torque wrench,Y,OEM-FORD,OK
BATCH-2023-0444,04/15/2024,QC-03,CV Joint,REWORK,Edge chipping,2.0797,N,183.0,1.0,Visual,Y,OEM-HYUNDAI,Customer concession raised
BATCH-2022-0432,08/05/2023,QC-04,Brake Pad Type B,PASS,,6.1658,Y,117.0,0.0,Go/No-Go gauge,Y,OEM-HONDA,OK
BATCH-2022-0288,2023-07-02,QC-03,ABS Sensor Ring,PASS,,3.4792,Y,145.0,0.0,Vernier,Y,OEM-MAHINDRA,OK
BATCH-2024-0078,2023-02-27,QC-01,Brake Shoe,PASS,,2.9601,Y,115.0,0.0,Go/No-Go gauge,Y,OEM-SUZUKI,Borderline – monitor next batch
BATCH-2023-0442,02-Mar-2021,QC-01,Drum Brake Assy,FAIL,Friction material cracking,10.0929,Y,92.0,3.0,CMM,Y,OEM-TATA,Waived by OEM
BATCH-2023-0187,2024-11-25,QC-08,Brake Shoe,PASS,,7.9648,Y,55.0,0.0,Vernier,N,OEM-RENAULT,Escalated to QA Manager
BATCH-2023-0255,09-Nov-2023,QC-06,Wheel Hub Assy,PASS,,4.2205,N,79.0,0.0,Torque wrench,Y,,Escalated to QA Manager
BATCH-2021-0198,04/07/2021,QC-01,Drum Brake Assy,PASS,,1.7299,N,,0.0,Hardness tester,N,OEM-MARUTI,Waived by OEM
BATCH-2022-0193,2024-10-26,QC-04,Brake Disc,REWORK,Dimensional out-of-spec,4.4845,N,58.0,21.0,Hardness tester,N,OEM-FORD,Escalated to QA Manager
BATCH-2024-0328,2021-04-11,QC-01,Brake Pad Type B,PASS,,3.2669,Y,159.0,0.0,Go/No-Go gauge,N,,Customer concession raised
BATCH-2023-0343,2024-03-18,QC-08,CV Joint,PASS,,4.1066,N,125.0,0.0,Vernier,N,OEM-RENAULT,Re-inspect after rework
BATCH-2024-0045,2021-09-01,QC-05,Brake Pad Type B,FAIL,Edge chipping,7.4601,Y,154.0,21.0,CMM,Y,OEM-BAJAJ,Borderline – monitor next batch
BATCH-2024-0182,09/04/2022,QC-04,Wheel Hub Assy,PASS,,11.939,Y,46.0,0.0,Go/No-Go gauge,N,OEM-SUZUKI,
BATCH-2022-0292,2022-11-04,QC-08,Clutch Plate,PASS,,5.3324,Y,65.0,0.0,Visual,Y,OEM-SUZUKI,Borderline – monitor next batch
BATCH-2021-0379,01-Aug-2024,QC-09,Brake Disc,FAIL,Porosity – casting defect,8.4002,Y,78.0,25.0,Torque wrench,Y,OEM-HONDA,Customer concession raised
BATCH-2021-0176,2021-06-05,QC-04,Brake Pad Type B,REWORK,Ovality – rotor,8.0321,Y,168.0,16.0,,Y,OEM-RENAULT,Customer concession raised
BATCH-2024-0211,2021-02-24,QC-07,Clutch Plate,PASS,,4.586,Y,25.0,0.0,CMM,Y,OEM-MAHINDRA,Customer concession raised
BATCH-2024-0084,21-01-2023,QC-05,Brake Pad Type B,PASS,,2.0089,N,106.0,0.0,Visual,Y,OEM-RENAULT,Borderline – monitor next batch
BATCH-2023-0187,2021-01-24,QC-06,Brake Pad Type A,PASS,,7.08,N,94.0,0.0,Visual,Y,OEM-BAJAJ,Customer concession raised
BATCH-2021-0488,2023-05-11,QC-08,Brake Pad Type A,PASS,,6.7089,Y,55.0,0.0,,N,,OK
BATCH-2021-0380,2023-05-29,QC-03,ABS Sensor Ring,PASS,,6.0268,N,22.0,0.0,Visual,,OEM-TATA,Borderline – monitor next batch
BATCH-2024-0056,2022-09-22,QC-06,Brake Pad Type A,PASS,,7.781,N,53.0,0.0,Height gauge,Y,OEM-TATA,Waived by OEM
BATCH-2021-0201,2023-07-29,QC-06,Wheel Hub Assy,PASS,,6.398,N,30.0,0.0,Visual,N,OEM-MARUTI,Re-inspect after rework
BATCH-2023-0355,2022-11-18,QC-08,Brake Pad Type A,PASS,,9.4537,N,29.0,0.0,Height gauge,N,OEM-FORD,Escalated to QA Manager
BATCH-2024-0350,2022-03-08,QC-01,Brake Pad Type A,PASS,,5.8443,N,143.0,0.0,Go/No-Go gauge,N,OEM-TATA,Escalated to QA Manager
BATCH-2021-0298,2022-05-24,QC-04,ABS Sensor Ring,FAIL,Corrosion pitting,9.3006,N,37.0,6.0,Go/No-Go gauge,Y,OEM-MAHINDRA,Escalated to QA Manager
BATCH-2024-0393,10/31/2023,QC-09,Brake Pad Type B,PASS,,3.0265,Y,85.0,0.0,Torque wrench,Y,,Borderline – monitor next batch
BATCH-2023-0135,2023-07-29,QC-04,Brake Disc,PASS,,3.4056,N,57.0,0.0,Height gauge,Y,OEM-HONDA,Re-inspect after rework
BATCH-2021-0410,2024-04-30,QC-03,ABS Sensor Ring,PASS,,1.9864,Y,35.0,0.0,Go/No-Go gauge,N,OEM-RENAULT,Re-inspect after rework
BATCH-2021-0427,2021-04-27,QC-01,Brake Shoe,PASS,,0.011,Y,,0.0,Go/No-Go gauge,N,OEM-HONDA,
BATCH-2021-0435,18-01-2021,QC-04,Clutch Plate,REWORK,Edge chipping,3.322,N,82.0,5.0,Visual,Y,OEM-TATA,OK
BATCH-2022-0484,2021-08-14,QC-09,Drum Brake Assy,FAIL,Porosity – casting defect,6.2108,,169.0,23.0,Height gauge,N,OEM-TVS,OK
BATCH-2021-0346,2024-04-07,QC-08,Brake Disc,REWORK,Noise under braking,6.9762,Y,136.0,12.0,Vernier,N,OEM-BAJAJ,
BATCH-2022-0423,06-06-2022,QC-05,Wheel Hub Assy,PASS,,9.3826,Y,36.0,0.0,Go/No-Go gauge,,OEM-HYUNDAI,Escalated to QA Manager
BATCH-2024-0191,2021-07-12,QC-01,Brake Shoe,PASS,,8.036,Y,69.0,0.0,Height gauge,N,OEM-MARUTI,Re-inspect after rework
BATCH-2022-0255,2022-12-31,QC-07,ABS Sensor Ring,REWORK,Noise under braking,4.4532,Y,195.0,25.0,Height gauge,N,,Escalated to QA Manager
BATCH-2022-0052,2022-09-02,QC-05,Clutch Plate,PASS,,3.9079,N,33.0,0.0,Vernier,N,OEM-HONDA,
BATCH-2023-0269,2023-08-19,QC-08,Drum Brake Assy,FAIL,Vibration at speed,5.2696,Y,96.0,18.0,Torque wrench,Y,OEM-MAHINDRA,Waived by OEM
BATCH-2024-0441,2023-01-06,QC-04,Brake Pad Type A,PASS,,11.4227,N,,,CMM,N,OEM-FORD,Waived by OEM
BATCH-2024-0094,2022-12-24,QC-06,Brake Pad Type A,FAIL,Edge chipping,7.591,Y,96.0,12.0,Height gauge,N,OEM-BAJAJ,Escalated to QA Manager
BATCH-2024-0193,2023-07-08,QC-07,Brake Shoe,PASS,,7.9871,N,150.0,0.0,Height gauge,N,,Waived by OEM
BATCH-2021-0377,2023-05-21,QC-06,Brake Pad Type B,PASS,,7.5055,Y,,0.0,Go/No-Go gauge,Y,,Waived by OEM
BATCH-2021-0092,2024-11-28,QC-04,CV Joint,FAIL,Noise under braking,9.6725,Y,87.0,,CMM,Y,,Waived by OEM
BATCH-2021-0481,2021-05-31,QC-05,Brake Pad Type A,FAIL,Edge chipping,3.3284,N,,5.0,CMM,N,,Customer concession raised
BATCH-2024-0062,2023-07-06,QC-08,Brake Pad Type B,PASS,,5.888,N,67.0,0.0,CMM,N,OEM-HONDA,Customer concession raised
BATCH-2024-0469,07-09-2021,QC-04,ABS Sensor Ring,PASS,,9.985,Y,69.0,0.0,Hardness tester,N,,
BATCH-2022-0389,2022-04-07,QC-09,ABS Sensor Ring,REWORK,Noise under braking,4.9025,N,38.0,14.0,Visual,Y,OEM-HYUNDAI,Re-inspect after rework
BATCH-2021-0249,2022-01-11,QC-07,Drum Brake Assy,PASS,,5.728,Y,63.0,0.0,Vernier,N,OEM-MAHINDRA,Customer concession raised
BATCH-2024-0057,2021-04-02,QC-07,CV Joint,PASS,,1.0678,N,97.0,0.0,,Y,OEM-HYUNDAI,
BATCH-2023-0134,2024-03-29,QC-02,Brake Pad Type B,PASS,,5.4956,Y,123.0,0.0,Hardness tester,N,OEM-RENAULT,Customer concession raised
BATCH-2021-0097,2022-03-28,QC-06,Drum Brake Assy,PASS,,3.4804,Y,182.0,0.0,CMM,Y,OEM-TATA,Escalated to QA Manager
BATCH-2023-0016,2023-09-05,QC-05,CV Joint,PASS,,0.7373,Y,63.0,0.0,Height gauge,Y,,Customer concession raised
BATCH-2023-0163,2021-10-30,QC-05,Brake Pad Type B,PASS,,8.0455,Y,190.0,0.0,Height gauge,Y,OEM-FORD,Waived by OEM
BATCH-2023-0132,06/01/2023,QC-09,Brake Disc,FAIL,Lining detachment,5.6158,N,115.0,15.0,Torque wrench,N,OEM-TATA,OK
BATCH-2024-0064,2022-02-11,QC-05,CV Joint,PASS,,3.9821,N,161.0,0.0,Vernier,Y,OEM-TVS,Borderline – monitor next batch
BATCH-2024-0257,2021-01-03,QC-07,Drum Brake Assy,PASS,,1.1364,Y,158.0,0.0,Go/No-Go gauge,Y,OEM-HYUNDAI,
BATCH-2023-0125,2024-03-27,QC-04,Drum Brake Assy,PASS,,9.0639,N,89.0,0.0,Visual,Y,OEM-MAHINDRA,Borderline – monitor next batch
BATCH-2021-0267,2022-11-30,QC-01,Drum Brake Assy,PASS,,4.6468,N,115.0,,Go/No-Go gauge,N,OEM-RENAULT,Escalated to QA Manager
BATCH-2022-0021,2024-10-27,QC-06,Brake Shoe,PASS,,2.4783,N,154.0,0.0,,Y,OEM-MARUTI,OK
BATCH-2023-0169,2024-11-05,QC-01,Brake Disc,PASS,,11.8097,N,173.0,0.0,CMM,Y,OEM-BAJAJ,Borderline – monitor next batch
BATCH-2023-0415,2022-12-15,QC-04,Clutch Plate,REWORK,Edge chipping,11.9327,N,80.0,9.0,Height gauge,Y,OEM-MARUTI,Escalated to QA Manager
BATCH-2024-0225,2022-07-02,QC-03,Clutch Plate,PASS,,11.3258,N,108.0,,Height gauge,N,,Borderline – monitor next batch
BATCH-2024-0404,2021-11-05,QC-07,Brake Pad Type B,REWORK,Vibration at speed,2.4389,Y,188.0,22.0,,N,OEM-SUZUKI,Borderline – monitor next batch
BATCH-2024-0493,2023-06-09,QC-01,Brake Disc,PASS,,9.5472,Y,29.0,0.0,Go/No-Go gauge,Y,OEM-TATA,Customer concession raised
BATCH-2023-0239,2022-02-08,QC-02,Disc Brake Caliper,PASS,,4.2707,N,22.0,0.0,Go/No-Go gauge,Y,OEM-MAHINDRA,Escalated to QA Manager
BATCH-2021-0456,2021-08-19,QC-04,ABS Sensor Ring,PASS,,0.4105,,139.0,,Torque wrench,Y,,Borderline – monitor next batch
BATCH-2023-0317,2024-03-22,QC-03,Brake Pad Type A,PASS,,8.7826,N,175.0,0.0,Torque wrench,N,OEM-MAHINDRA,Re-inspect after rework
BATCH-2024-0306,2024-02-16,QC-02,Brake Pad Type B,PASS,,9.172,N,,0.0,Height gauge,N,OEM-FORD,
BATCH-2021-0362,2022-02-27,QC-03,Disc Brake Caliper,REWORK,Noise under braking,0.7387,N,90.0,13.0,CMM,Y,OEM-HYUNDAI,OK
BATCH-2023-0428,2022-06-08,QC-08,ABS Sensor Ring,PASS,,9.5156,N,34.0,0.0,Visual,N,OEM-RENAULT,Waived by OEM
BATCH-2024-0185,2024-10-30,QC-09,Brake Pad Type A,PASS,,6.8309,N,130.0,0.0,CMM,Y,OEM-FORD,Customer concession raised
BATCH-2021-0186,2021-01-10,QC-03,Disc Brake Caliper,FAIL,Friction material cracking,6.1226,Y,124.0,13.0,Vernier,Y,OEM-FORD,OK
BATCH-2022-0337,2024-04-13,QC-07,CV Joint,PASS,,2.8754,N,58.0,0.0,CMM,N,OEM-TATA,Customer concession raised
BATCH-2023-0475,2022-05-01,QC-06,Wheel Hub Assy,PASS,,4.1898,N,62.0,0.0,Vernier,Y,OEM-HONDA,OK
BATCH-2022-0376,2021-05-26,QC-09,CV Joint,REWORK,Friction material cracking,7.3863,N,196.0,22.0,Go/No-Go gauge,Y,,Borderline – monitor next batch
