dispatch_date,order_id,customer_id,product_type,quantity,batch_ref,vehicle_number
2024-04-24,D-1028,OEM-MAHINDRA,Brake Pad Type A,977,BATCH-2024-4626,MH12-5373
2024-02-08,D-1029,OEM-MAHINDRA,Clutch Assembly,928,BATCH-2023-0244,MH12-8870
2024-07-24,D-1030,OEM-MAHINDRA,Brake Pad Type B,365,BATCH-2024-3007,MH12-8799
2023-09-12,D-1031,OEM-TATA,Clutch Assembly,277,"BATCH-2023-3367,BATCH-2023-5156",MH12-9528
2023-09-21,D-1032,OEM-BAJAJ,Brake Pad Type B,669,BATCH-2023-2919,MH12-3913
2024-04-17,D-1033,OEM-MAHINDRA,Clutch Assembly,762,BATCH-2024-4232,MH12-8613
2024-03-18,D-1034,OEM-TATA,Clutch Assembly,338,BATCH-2024-4950,MH12-8399
2024-06-20,D-1035,OEM-MAHINDRA,Brake Pad Type A,555,BATCH-2023-2079,MH12-6655
2023-09-11,D-1036,OEM-MAHINDRA,Brake Pad Type B,692,"BATCH-2023-5094,BATCH-2024-2874",MH12-7364
2023-02-11,D-1037,OEM-BAJAJ,Clutch Assembly,933,"BATCH-2023-4898,BATCH-2023-3460",MH12-9530
2024-02-12,D-1038,OEM-MAHINDRA,Brake Pad Type B,649,"BATCH-2024-5173,BATCH-2023-4812",MH12-2257
2024-03-25,D-1039,OEM-TATA,Brake Pad Type A,318,BATCH-2023-3826,MH12-5096
2023-02-26,D-1040,OEM-MAHINDRA,Brake Pad Type B,731,BATCH-2024-2018,MH12-2634
2023-08-11,D-1041,OEM-BAJAJ,Clutch Assembly,959,BATCH-2023-3510,MH12-3929
2023-03-29,D-1042,OEM-BAJAJ,Brake Pad Type A,251,BATCH-2023-2783,MH12-4966
2024-01-19,D-1043,OEM-BAJAJ,Brake Pad Type A,492,BATCH-2024-0535,MH12-7771
2024-01-17,D-1044,OEM-BAJAJ,Brake Pad Type A,927,BATCH-2023-3899,MH12-5920
2023-04-13,D-1045,OEM-MAHINDRA,Brake Pad Type B,666,BATCH-2023-2093,MH12-3149
2023-04-20,D-1046,OEM-MAHINDRA,Clutch Assembly,678,"BATCH-2024-1214,BATCH-2024-1677",MH12-1773
2023-08-17,D-1047,OEM-TATA,Brake Pad Type B,812,BATCH-2024-0896,MH12-9209
2024-04-07,D-1048,OEM-TATA,Brake Pad Type A,891,"BATCH-2024-5285,BATCH-2024-0234",MH12-1496
2024-02-17,D-1049,OEM-TATA,Brake Pad Type B,916,BATCH-2024-1995,MH12-1202
2024-07-03,D-1050,OEM-BAJAJ,Brake Pad Type A,586,BATCH-2023-2155,MH12-8397
2023-06-24,D-1051,OEM-BAJAJ,Brake Pad Type A,953,BATCH-2024-3177,MH12-5893
2023-11-09,D-1052,OEM-MAHINDRA,Clutch Assembly,388,BATCH-2024-2204,MH12-6351
2024-04-23,D-1053,OEM-MAHINDRA,Clutch Assembly,533,BATCH-2023-2049,MH12-9667
2023-11-07,D-1054,OEM-TATA,Brake Pad Type A,258,"BATCH-2024-1166,BATCH-2024-1149",MH12-5731
2023-02-12,D-1055,OEM-TATA,Brake Pad Type B,314,BATCH-2024-2184,MH12-1770
2023-02-28,D-1056,OEM-TATA,Clutch Assembly,292,BATCH-2023-2623,MH12-3479
2023-03-30,D-1057,OEM-BAJAJ,Clutch Assembly,244,BATCH-2024-0274,MH12-7630
2023-08-23,D-1058,OEM-TATA,Brake Pad Type B,716,BATCH-2024-1810,MH12-7810
2023-02-22,D-1059,OEM-TATA,Brake Pad Type A,838,BATCH-2024-0672,MH12-4471
2023-06-01,D-1060,OEM-TATA,Clutch Assembly,899,BATCH-2023-3724,MH12-4977
2023-11-18,D-1061,OEM-BAJAJ,Brake Pad Type B,960,BATCH-2023-0293,MH12-4952
2024-06-02,D-1062,OEM-BAJAJ,Clutch Assembly,698,"BATCH-2023-1256,BATCH-2024-4072",MH12-1301
2024-04-26,D-1063,OEM-TATA,Clutch Assembly,383,BATCH-2023-2265,MH12-5241
2023-10-05,D-1064,OEM-MAHINDRA,Brake Pad Type A,283,"BATCH-2024-3499,BATCH-2023-0483",MH12-9938
2023-02-12,D-1065,OEM-BAJAJ,Brake Pad Type A,893,BATCH-2024-4880,MH12-1233
2024-03-29,D-1066,OEM-MAHINDRA,Brake Pad Type B,782,BATCH-2024-1836,MH12-6719
2024-06-08,D-1067,OEM-TATA,Clutch Assembly,647,BATCH-2024-0586,MH12-1837
2023-05-09,D-1068,OEM-TATA,Brake Pad Type A,697,BATCH-2023-1051,MH12-1207
2023-09-18,D-1069,OEM-TATA,Brake Pad Type B,908,BATCH-2024-3775,MH12-2905
2023-06-30,D-1070,OEM-TATA,Clutch Assembly,983,BATCH-2024-3295,MH12-6083
2024-07-24,D-1071,OEM-BAJAJ,Brake Pad Type B,837,BATCH-2024-4631,MH12-4703
2023-12-19,D-1072,OEM-MAHINDRA,Clutch Assembly,825,"BATCH-2024-0032,BATCH-2023-2143",MH12-8479
2024-04-23,D-1073,OEM-BAJAJ,Brake Pad Type B,973,BATCH-2024-1665,MH12-9444
2024-04-09,D-1074,OEM-MAHINDRA,Brake Pad Type A,654,BATCH-2024-4924,MH12-1650
2023-08-05,D-1075,OEM-BAJAJ,Clutch Assembly,279,BATCH-2024-2862,MH12-2424
2023-02-20,D-1076,OEM-BAJAJ,Brake Pad Type A,523,BATCH-2023-2102,MH12-2743
2024-03-31,D-1077,OEM-TATA,Brake Pad Type A,895,BATCH-2023-0861,MH12-9084
2024-05-24,D-1078,OEM-BAJAJ,Brake Pad Type B,883,BATCH-2024-3017,MH12-6243
2023-11-07,D-1079,OEM-BAJAJ,Clutch Assembly,888,BATCH-2023-4552,MH12-6586
2023-08-09,D-1080,OEM-MAHINDRA,Brake Pad Type B,610,BATCH-2023-4746,MH12-5511
2024-02-03,D-1081,OEM-TATA,Clutch Assembly,975,BATCH-2023-3829,MH12-2006
2024-03-24,D-1082,OEM-TATA,Brake Pad Type A,484,BATCH-2024-0440,MH12-7499
2023-07-06,D-1083,OEM-MAHINDRA,Clutch Assembly,225,BATCH-2024-3127,MH12-6895
2023-04-15,D-1084,OEM-BAJAJ,Clutch Assembly,958,"BATCH-2024-3735,BATCH-2023-2601",MH12-5736
2024-07-11,D-1085,OEM-TATA,Brake Pad Type A,643,BATCH-2024-3156,MH12-9408
2024-01-15,D-1086,OEM-BAJAJ,Brake Pad Type A,232,BATCH-2024-0029,MH12-3955
2023-09-26,D-1087,OEM-TATA,Brake Pad Type B,229,BATCH-2024-3904,MH12-7038
2023-04-28,D-1088,OEM-MAHINDRA,Brake Pad Type B,545,BATCH-2023-3183,MH12-3914
2023-10-07,D-1089,OEM-BAJAJ,Brake Pad Type B,282,BATCH-2024-4824,MH12-3055
2023-12-01,D-1090,OEM-MAHINDRA,Clutch Assembly,524,BATCH-2023-2807,MH12-7807
2023-08-09,D-1091,OEM-BAJAJ,Brake Pad Type A,315,BATCH-2023-0552,MH12-5399
2023-07-29,D-1092,OEM-TATA,Brake Pad Type B,299,BATCH-2024-0304,MH12-4551
2024-05-28,D-1093,OEM-BAJAJ,Brake Pad Type A,713,BATCH-2023-1990,MH12-5213
2024-07-23,D-1094,OEM-BAJAJ,Brake Pad Type B,858,BATCH-2024-0558,MH12-1284
2023-11-09,D-1095,OEM-MAHINDRA,Brake Pad Type B,413,BATCH-2024-4202,MH12-1647
2023-03-03,D-1096,OEM-BAJAJ,Clutch Assembly,819,BATCH-2023-0483,MH12-2744
2023-10-23,D-1097,OEM-MAHINDRA,Brake Pad Type A,512,"BATCH-2024-2280,BATCH-2024-3084",MH12-5641
2023-04-14,D-1098,OEM-MAHINDRA,Clutch Assembly,422,BATCH-2024-2646,MH12-1692
2024-05-22,D-1099,OEM-BAJAJ,Brake Pad Type A,658,BATCH-2023-2467,MH12-5993
2024-06-25,D-1100,OEM-MAHINDRA,Clutch Assembly,807,BATCH-2024-3776,MH12-7543
2023-10-29,D-1101,OEM-MAHINDRA,Brake Pad Type A,938,BATCH-2023-3556,MH12-2237
2024-05-15,D-1102,OEM-TATA,Brake Pad Type A,656,BATCH-2024-4044,MH12-5254
2023-04-04,D-1103,OEM-TATA,Brake Pad Type A,658,BATCH-2024-0586,MH12-3758
2023-10-31,D-1104,OEM-BAJAJ,Brake Pad Type B,558,BATCH-2023-2095,MH12-4928
2023-11-07,D-1105,OEM-BAJAJ,Brake Pad Type A,456,BATCH-2023-5115,MH12-1566
2023-02-02,D-1106,OEM-BAJAJ,Clutch Assembly,851,"BATCH-2023-0404,BATCH-2023-4739",MH12-6742
2024-02-01,D-1107,OEM-TATA,Brake Pad Type B,688,BATCH-2023-3771,MH12-4715
2023-04-13,D-1108,OEM-TATA,Brake Pad Type B,666,BATCH-2023-2325,MH12-3703
2023-05-06,D-1109,OEM-TATA,Clutch Assembly,624,"BATCH-2024-3038,BATCH-2024-0492",MH12-8737
2023-04-09,D-1110,OEM-TATA,Clutch Assembly,833,BATCH-2024-1225,MH12-7309
2023-08-26,D-1111,OEM-BAJAJ,Clutch Assembly,661,"BATCH-2024-4543,BATCH-2024-2076",MH12-2583
2023-10-16,D-1112,OEM-BAJAJ,Clutch Assembly,852,BATCH-2024-3376,MH12-1637
2023-02-02,D-1113,OEM-BAJAJ,Brake Pad Type A,889,BATCH-2024-3694,MH12-1325
2023-03-02,D-1114,OEM-TATA,Brake Pad Type A,497,BATCH-2023-1649,MH12-1231
2023-08-01,D-1115,OEM-TATA,Clutch Assembly,772,BATCH-2024-0717,MH12-2312
2023-09-04,D-1116,OEM-BAJAJ,Brake Pad Type B,513,BATCH-2023-1008,MH12-1378
2023-12-21,D-1117,OEM-MAHINDRA,Clutch Assembly,879,BATCH-2024-1390,MH12-6366
2024-02-17,D-1118,OEM-BAJAJ,Clutch Assembly,557,"BATCH-2024-2683,BATCH-2023-4940",MH12-5813
2024-05-05,D-1119,OEM-MAHINDRA,Brake Pad Type A,545,BATCH-2023-4731,MH12-9506
2024-02-28,D-1120,OEM-MAHINDRA,Clutch Assembly,250,BATCH-2023-4728,MH12-5021
2024-01-15,D-1121,OEM-TATA,Clutch Assembly,361,BATCH-2023-3331,MH12-5377
2023-04-20,D-1122,OEM-BAJAJ,Brake Pad Type B,390,BATCH-2023-4800,MH12-9498
2024-06-06,D-1123,OEM-BAJAJ,Brake Pad Type A,956,"BATCH-2024-3421,BATCH-2024-0567",MH12-5921
2023-03-07,D-1124,OEM-BAJAJ,Brake Pad Type B,871,BATCH-2023-0147,MH12-4082
2023-05-31,D-1125,OEM-TATA,Brake Pad Type B,692,BATCH-2024-2986,MH12-9010
2024-03-19,D-1126,OEM-TATA,Brake Pad Type B,984,BATCH-2023-4704,MH12-2185
2023-03-01,D-1127,OEM-BAJAJ,Brake Pad Type A,234,BATCH-2023-2071,MH12-7525
2023-06-14,D-1128,OEM-BAJAJ,Clutch Assembly,382,BATCH-2024-4086,MH12-4284
2023-04-28,D-1129,OEM-BAJAJ,Clutch Assembly,300,BATCH-2024-0663,MH12-5340
2024-04-26,D-1130,OEM-MAHINDRA,Clutch Assembly,303,BATCH-2023-2499,MH12-6355
2024-04-19,D-1131,OEM-TATA,Clutch Assembly,885,BATCH-2024-2420,MH12-7989
2023-11-04,D-1132,OEM-TATA,Clutch Assembly,275,BATCH-2023-2849,MH12-7232
2023-04-29,D-1133,OEM-BAJAJ,Brake Pad Type B,911,BATCH-2024-4215,MH12-2203
2024-01-03,D-1134,OEM-MAHINDRA,Brake Pad Type A,452,BATCH-2023-2166,MH12-1302
2023-05-29,D-1135,OEM-TATA,Clutch Assembly,809,BATCH-2023-4038,MH12-4140
2023-07-01,D-1136,OEM-MAHINDRA,Brake Pad Type A,936,BATCH-2024-3484,MH12-7743
2024-06-29,D-1137,OEM-MAHINDRA,Clutch Assembly,954,BATCH-2023-3645,MH12-6049
2023-03-19,D-1138,OEM-BAJAJ,Brake Pad Type B,461,"BATCH-2024-1557,BATCH-2024-3464",MH12-8035
2023-02-12,D-1139,OEM-MAHINDRA,Clutch Assembly,485,BATCH-2024-3278,MH12-6819
2023-03-19,D-1140,OEM-TATA,Clutch Assembly,466,"BATCH-2024-0619,BATCH-2023-2045",MH12-8196
2023-06-08,D-1141,OEM-BAJAJ,Brake Pad Type B,737,BATCH-2024-1351,MH12-9660
2023-03-19,D-1142,OEM-BAJAJ,Clutch Assembly,612,BATCH-2023-5012,MH12-4725
2023-05-06,D-1143,OEM-MAHINDRA,Brake Pad Type A,598,BATCH-2023-4341,MH12-9386
2024-02-29,D-1144,OEM-TATA,Clutch Assembly,254,BATCH-2023-2473,MH12-9552
2023-05-29,D-1145,OEM-TATA,Brake Pad Type A,474,BATCH-2024-5293,MH12-4077
2023-05-25,D-1146,OEM-MAHINDRA,Brake Pad Type A,786,BATCH-2024-4847,MH12-7429
2023-11-17,D-1147,OEM-BAJAJ,Clutch Assembly,980,BATCH-2023-4813,MH12-8248
2023-07-22,D-1148,OEM-MAHINDRA,Brake Pad Type A,730,BATCH-2024-0136,MH12-9070
2023-02-21,D-1149,OEM-TATA,Clutch Assembly,532,BATCH-2024-2815,MH12-2063
2023-08-20,D-1150,OEM-BAJAJ,Clutch Assembly,991,BATCH-2023-4612,MH12-8604
2023-05-27,D-1151,OEM-BAJAJ,Brake Pad Type B,818,BATCH-2023-4520,MH12-6216
2024-07-12,D-1152,OEM-MAHINDRA,Clutch Assembly,503,BATCH-2024-1959,MH12-9078
2023-07-29,D-1153,OEM-BAJAJ,Brake Pad Type A,417,BATCH-2024-3815,MH12-6119
2024-01-30,D-1154,OEM-TATA,Brake Pad Type A,595,BATCH-2024-4582,MH12-2250
2024-03-10,D-1155,OEM-MAHINDRA,Clutch Assembly,690,BATCH-2024-2754,MH12-6007
2024-03-13,D-1156,OEM-MAHINDRA,Clutch Assembly,722,BATCH-2024-3187,MH12-7479
2023-10-09,D-1157,OEM-TATA,Clutch Assembly,826,BATCH-2024-4354,MH12-1577
2024-05-24,D-1158,OEM-TATA,Brake Pad Type A,355,"BATCH-2024-5224,BATCH-2024-4262",MH12-8582
2023-09-04,D-1159,OEM-MAHINDRA,Brake Pad Type B,286,BATCH-2024-4777,MH12-6030
2024-02-01,D-1160,OEM-MAHINDRA,Clutch Assembly,232,BATCH-2023-5212,MH12-2796
2023-03-20,D-1161,OEM-BAJAJ,Clutch Assembly,964,BATCH-2024-3404,MH12-5244
2024-04-29,D-1162,OEM-BAJAJ,Brake Pad Type A,680,BATCH-2023-3721,MH12-1307
2024-04-29,D-1163,OEM-MAHINDRA,Clutch Assembly,653,BATCH-2024-1637,MH12-6674
2023-03-12,D-1164,OEM-MAHINDRA,Brake Pad Type B,546,"BATCH-2023-4626,BATCH-2023-4921",MH12-1547
2023-11-20,D-1165,OEM-BAJAJ,Brake Pad Type B,285,BATCH-2023-3141,MH12-8103
2023-08-20,D-1166,OEM-TATA,Clutch Assembly,794,BATCH-2024-1273,MH12-8583
2023-05-18,D-1167,OEM-TATA,Brake Pad Type B,510,BATCH-2023-3352,MH12-7139
2024-03-07,D-1168,OEM-BAJAJ,Clutch Assembly,335,BATCH-2023-4959,MH12-2167
2024-03-10,D-1169,OEM-TATA,Clutch Assembly,880,"BATCH-2024-4256,BATCH-2023-2269",MH12-8220
2023-04-09,D-1170,OEM-TATA,Brake Pad Type A,256,BATCH-2023-4396,MH12-1489
2024-06-03,D-1171,OEM-TATA,Brake Pad Type B,371,BATCH-2023-3959,MH12-3669
2024-05-28,D-1172,OEM-MAHINDRA,Brake Pad Type A,600,BATCH-2023-1984,MH12-5492
2023-11-07,D-1173,OEM-BAJAJ,Clutch Assembly,551,BATCH-2023-3733,MH12-6850
2024-06-09,D-1174,OEM-TATA,Brake Pad Type B,669,BATCH-2023-3125,MH12-8339
2023-08-30,D-1175,OEM-TATA,Brake Pad Type A,633,"BATCH-2023-1652,BATCH-2024-0369",MH12-6894
2023-03-10,D-1176,OEM-MAHINDRA,Brake Pad Type A,708,BATCH-2024-3044,MH12-4599
2023-06-16,D-1177,OEM-BAJAJ,Brake Pad Type B,870,BATCH-2024-0587,MH12-8653
2023-04-28,D-1178,OEM-BAJAJ,Brake Pad Type B,465,BATCH-2024-2061,MH12-3899
2023-09-09,D-1179,OEM-BAJAJ,Clutch Assembly,695,"BATCH-2023-0546,BATCH-2024-0461",MH12-4968
2023-05-10,D-1180,OEM-BAJAJ,Brake Pad Type B,558,BATCH-2023-4831,MH12-7803
2024-07-22,D-1181,OEM-TATA,Brake Pad Type B,552,BATCH-2024-3935,MH12-8123
2024-05-04,D-1182,OEM-BAJAJ,Brake Pad Type B,541,BATCH-2023-2422,MH12-5113
2024-05-18,D-1183,OEM-TATA,Brake Pad Type A,396,BATCH-2023-1082,MH12-1467
2024-07-17,D-1184,OEM-BAJAJ,Brake Pad Type B,237,BATCH-2023-4495,MH12-6887
2024-04-11,D-1185,OEM-TATA,Brake Pad Type A,463,BATCH-2023-1280,MH12-8266
2023-07-29,D-1186,OEM-TATA,Brake Pad Type A,366,BATCH-2023-2000,MH12-8187
2023-03-30,D-1187,OEM-BAJAJ,Clutch Assembly,717,BATCH-2023-0085,MH12-8553
2023-04-03,D-1188,OEM-BAJAJ,Clutch Assembly,240,BATCH-2024-2547,MH12-8605
2024-05-30,D-1189,OEM-MAHINDRA,Brake Pad Type A,601,BATCH-2023-2376,MH12-6317
2023-09-15,D-1190,OEM-BAJAJ,Brake Pad Type B,923,BATCH-2024-4518,MH12-7524
2024-06-27,D-1191,OEM-TATA,Brake Pad Type B,360,BATCH-2023-2851,MH12-7528
2024-07-04,D-1192,OEM-MAHINDRA,Brake Pad Type B,475,BATCH-2024-3121,MH12-1387
2024-03-14,D-1193,OEM-MAHINDRA,Brake Pad Type A,954,"BATCH-2023-0227,BATCH-2023-3832",MH12-1483
2024-04-19,D-1194,OEM-TATA,Brake Pad Type B,814,BATCH-2023-5026,MH12-5490
2023-10-31,D-1195,OEM-TATA,Brake Pad Type B,877,"BATCH-2023-1879,BATCH-2023-4266",MH12-8660
2023-11-05,D-1196,OEM-BAJAJ,Brake Pad Type B,289,BATCH-2024-1401,MH12-8192
2024-06-20,D-1197,OEM-MAHINDRA,Brake Pad Type B,750,BATCH-2024-2692,MH12-9472
2023-10-16,D-1198,OEM-TATA,Brake Pad Type B,537,BATCH-2023-4469,MH12-5256
2024-04-19,D-1199,OEM-TATA,Brake Pad Type B,535,BATCH-2023-2922,MH12-8379
2024-01-12,D-1200,OEM-MAHINDRA,Brake Pad Type A,985,"BATCH-2023-3077,BATCH-2024-4725",MH12-9130
2024-02-22,D-1201,OEM-BAJAJ,Brake Pad Type A,848,"BATCH-2024-2868,BATCH-2023-1140",MH12-7619
2024-04-22,D-1202,OEM-TATA,Clutch Assembly,896,BATCH-2024-2714,MH12-8677
2024-04-16,D-1203,OEM-MAHINDRA,Brake Pad Type A,527,"BATCH-2023-3222,BATCH-2024-1960",MH12-8839
2023-02-02,D-1204,OEM-BAJAJ,Clutch Assembly,699,BATCH-2023-3893,MH12-7694
2024-03-23,D-1205,OEM-BAJAJ,Brake Pad Type A,407,BATCH-2024-1480,MH12-3288
2023-08-31,D-1206,OEM-MAHINDRA,Brake Pad Type A,698,BATCH-2023-2922,MH12-4460
2024-05-25,D-1207,OEM-BAJAJ,Brake Pad Type B,202,"BATCH-2023-4164,BATCH-2023-0042",MH12-5861
2024-01-27,D-1208,OEM-MAHINDRA,Clutch Assembly,720,BATCH-2023-4947,MH12-3882
2023-08-28,D-1209,OEM-TATA,Brake Pad Type A,490,BATCH-2023-0532,MH12-9908
2023-07-25,D-1210,OEM-TATA,Clutch Assembly,859,BATCH-2024-0691,MH12-8216
2023-08-16,D-1211,OEM-BAJAJ,Brake Pad Type B,688,BATCH-2023-5258,MH12-2640
2023-12-16,D-1212,OEM-BAJAJ,Brake Pad Type B,228,BATCH-2024-1918,MH12-1214
2023-08-19,D-1213,OEM-BAJAJ,Clutch Assembly,664,BATCH-2024-1368,MH12-1873
2024-03-18,D-1214,OEM-MAHINDRA,Brake Pad Type A,697,BATCH-2023-3800,MH12-4916
2023-09-05,D-1215,OEM-BAJAJ,Clutch Assembly,686,BATCH-2023-1387,MH12-7849
2023-05-07,D-1216,OEM-BAJAJ,Clutch Assembly,452,BATCH-2023-0768,MH12-4728
2024-02-25,D-1217,OEM-MAHINDRA,Clutch Assembly,440,BATCH-2024-1260,MH12-2283
2024-04-06,D-1218,OEM-TATA,Brake Pad Type B,608,BATCH-2024-2914,MH12-8128
2023-05-23,D-1219,OEM-TATA,Brake Pad Type B,509,BATCH-2023-0727,MH12-4026
2024-02-04,D-1220,OEM-TATA,Brake Pad Type B,708,BATCH-2024-0651,MH12-2555
2023-12-09,D-1221,OEM-MAHINDRA,Brake Pad Type B,298,BATCH-2023-3669,MH12-1819
2023-12-22,D-1222,OEM-MAHINDRA,Clutch Assembly,542,BATCH-2024-2566,MH12-5871
2023-06-29,D-1223,OEM-MAHINDRA,Clutch Assembly,477,"BATCH-2024-3622,BATCH-2023-1487",MH12-5379
2023-09-27,D-1224,OEM-TATA,Brake Pad Type A,932,BATCH-2024-2165,MH12-7974
2023-02-17,D-1225,OEM-MAHINDRA,Clutch Assembly,894,BATCH-2024-4132,MH12-9327
2023-08-16,D-1226,OEM-TATA,Clutch Assembly,511,BATCH-2023-4706,MH12-3568
2024-07-11,D-1227,OEM-BAJAJ,Brake Pad Type A,842,BATCH-2023-1111,MH12-7824
2023-07-12,D-1228,OEM-TATA,Clutch Assembly,743,BATCH-2023-4469,MH12-8427
2024-05-02,D-1229,OEM-TATA,Brake Pad Type A,522,BATCH-2024-1654,MH12-1219
2023-09-24,D-1230,OEM-TATA,Brake Pad Type A,792,BATCH-2024-2113,MH12-6610
2023-02-27,D-1231,OEM-MAHINDRA,Clutch Assembly,722,BATCH-2023-4800,MH12-7644
2023-09-19,D-1232,OEM-TATA,Clutch Assembly,715,"BATCH-2024-0223,BATCH-2024-2378",MH12-9202
2024-07-01,D-1233,OEM-TATA,Brake Pad Type A,939,BATCH-2024-3312,MH12-9655
2023-08-28,D-1234,OEM-BAJAJ,Brake Pad Type A,448,BATCH-2024-3360,MH12-1848
2023-10-10,D-1235,OEM-MAHINDRA,Brake Pad Type A,335,BATCH-2024-3173,MH12-9000
2024-02-21,D-1236,OEM-TATA,Brake Pad Type B,772,BATCH-2024-3842,MH12-1788
2023-08-19,D-1237,OEM-BAJAJ,Brake Pad Type A,644,BATCH-2024-1549,MH12-1496
2023-10-11,D-1238,OEM-MAHINDRA,Clutch Assembly,278,BATCH-2024-3096,MH12-7325
2024-05-05,D-1239,OEM-TATA,Brake Pad Type B,776,BATCH-2023-5095,MH12-2951
2023-07-01,D-1240,OEM-BAJAJ,Clutch Assembly,219,BATCH-2023-4588,MH12-4489
2023-06-27,D-1241,OEM-TATA,Brake Pad Type A,721,BATCH-2023-0119,MH12-1805
2024-03-24,D-1242,OEM-MAHINDRA,Brake Pad Type A,821,BATCH-2024-5205,MH12-3436
2023-08-18,D-1243,OEM-MAHINDRA,Brake Pad Type B,652,"BATCH-2023-5235,BATCH-2023-1460",MH12-6789
2024-02-17,D-1244,OEM-BAJAJ,Brake Pad Type A,960,BATCH-2023-3868,MH12-6265
2024-06-02,D-1245,OEM-MAHINDRA,Brake Pad Type B,746,BATCH-2024-1940,MH12-4914
2023-05-11,D-1246,OEM-TATA,Clutch Assembly,461,BATCH-2024-1129,MH12-8453
2023-12-18,D-1247,OEM-MAHINDRA,Clutch Assembly,417,BATCH-2023-4481,MH12-4374
2023-03-08,D-1248,OEM-MAHINDRA,Clutch Assembly,358,BATCH-2024-2138,MH12-9475
2024-02-18,D-1249,OEM-TATA,Brake Pad Type A,476,BATCH-2024-1132,MH12-6630
2024-07-10,D-1250,OEM-MAHINDRA,Clutch Assembly,227,BATCH-2023-4619,MH12-5812
2023-05-12,D-1251,OEM-BAJAJ,Brake Pad Type A,299,BATCH-2023-1274,MH12-9616
2023-04-23,D-1252,OEM-MAHINDRA,Clutch Assembly,339,BATCH-2024-0292,MH12-5399
2023-08-28,D-1253,OEM-BAJAJ,Brake Pad Type A,568,"BATCH-2023-0034,BATCH-2023-4005",MH12-9017
2023-10-11,D-1254,OEM-BAJAJ,Clutch Assembly,714,BATCH-2023-1649,MH12-8300
2023-05-12,D-1255,OEM-BAJAJ,Brake Pad Type B,273,BATCH-2023-4859,MH12-9621
2023-11-21,D-1256,OEM-TATA,Brake Pad Type A,364,BATCH-2023-1435,MH12-6974
2023-12-01,D-1257,OEM-MAHINDRA,Brake Pad Type A,926,BATCH-2023-2047,MH12-8948
2024-05-28,D-1258,OEM-TATA,Clutch Assembly,524,BATCH-2023-0813,MH12-2026
