date,shift,machine_id,operator_id,batch_id,input_lot_ref,units_produced,cycle_time_min
2024-03-22,A,MC-03,OP-017,BATCH-2023-0037,LOT-2024-184,495,10.0
2023-02-09,B,MC-02,OP-008,BATCH-2023-0038,LOT-2024-175,388,8.5
2023-10-03,B,MC-05,OP-011,BATCH-2023-0039,LOT-2024-194,551,12.6
2023-02-09,C,MC-02,OP-011,BATCH-2023-0040,LOT-2023-043,391,10.7
2023-07-06,A,MC-02,OP-012,BATCH-2023-0041,LOT-2024-118,513,10.9
2023-09-10,C,MC-03,OP-013,BATCH-2023-0042,LOT-2023-175,313,16.7
2023-07-19,B,MC-01,OP-011,BATCH-2023-0043,LOT-2023-088,295,13.3
2023-12-12,B,MC-04,OP-006,BATCH-2023-0044,LOT-2024-046,494,9.7
2023-08-15,C,MC-03,OP-004,BATCH-2023-0045,LOT-2023-088,314,16.6
2024-05-31,C,MC-04,OP-017,BATCH-2023-0046,LOT-2024-095,334,17.6
2023-11-29,C,MC-03,OP-009,BATCH-2023-0047,LOT-2024-194,314,8.1
2023-11-10,C,MC-01,OP-004,BATCH-2023-0048,LOT-2023-173,446,14.0
2023-06-18,B,MC-05,OP-008,BATCH-2023-0049,LOT-2023-134,337,15.9
2023-03-30,B,MC-03,OP-015,BATCH-2023-0050,LOT-2023-101,255,11.3
2023-12-02,B,MC-05,OP-007,BATCH-2023-0051,LOT-2023-056,414,12.8
2024-06-21,B,MC-01,OP-001,BATCH-2023-0052,LOT-2023-110,517,10.7
2023-06-03,A,MC-01,OP-012,BATCH-2023-0053,LOT-2023-073,290,12.6
2024-06-25,C,MC-02,OP-016,,LOT-2024-144,203,10.7
2023-05-13,A,MC-03,OP-018,BATCH-2023-0055,LOT-2024-103,597,12.3
2023-03-01,B,MC-03,OP-010,BATCH-2023-0056,LOT-2024-194,285,9.4
2023-12-12,B,MC-05,OP-011,BATCH-2023-0057,LOT-2024-190,575,13.9
2024-01-08,B,MC-05,OP-004,BATCH-2023-0058,LOT-2024-046,242,16.1
2024-03-14,A,MC-01,OP-002,BATCH-2023-0059,LOT-2023-035,279,16.0
2024-01-17,A,MC-01,OP-008,BATCH-2023-0060,LOT-2023-151,267,14.4
2023-04-29,B,MC-03,OP-016,BATCH-2023-0061,LOT-2024-018,217,13.2
2024-03-11,B,MC-03,OP-017,,LOT-2023-175,468,14.2
2024-01-31,C,MC-02,OP-014,BATCH-2023-0063,LOT-2024-037,429,17.0
2024-03-27,C,MC-01,OP-005,BATCH-2023-0064,LOT-2024-165,387,16.5
2023-06-21,A,MC-05,OP-007,BATCH-2023-0065,LOT-2024-054,288,15.1
2023-04-19,A,MC-02,OP-020,BATCH-2023-0066,LOT-2023-049,273,16.8
2023-01-08,B,MC-01,OP-003,,LOT-2024-160,466,10.4
2023-09-26,B,MC-03,OP-001,BATCH-2023-0068,LOT-2023-053,472,9.7
2024-04-27,A,MC-03,OP-016,BATCH-2023-0069,LOT-2023-171,437,11.2
2024-01-07,A,MC-05,OP-002,BATCH-2023-0070,LOT-2024-124,366,9.4
2023-04-03,C,MC-02,OP-004,BATCH-2023-0071,LOT-2024-098,400,8.5
2023-07-06,A,MC-01,OP-015,BATCH-2023-0072,LOT-2024-031,551,10.2
2024-03-29,A,MC-01,OP-011,BATCH-2023-0073,LOT-2023-145,293,9.7
2023-08-08,C,MC-04,OP-011,BATCH-2023-0074,LOT-2024-044,536,16.5
2023-03-19,A,MC-02,OP-006,BATCH-2023-0075,LOT-2024-061,366,14.5
2023-09-08,B,MC-03,OP-014,BATCH-2023-0076,LOT-2023-082,262,12.9
2024-04-19,B,MC-03,OP-008,BATCH-2023-0077,LOT-2024-057,210,13.7
2023-09-25,A,MC-02,OP-015,BATCH-2023-0078,LOT-2024-157,509,16.2
2024-03-25,A,MC-02,OP-002,BATCH-2023-0079,LOT-2023-147,369,10.5
2024-04-24,B,MC-03,OP-005,,LOT-2024-185,496,17.5
2024-06-15,C,MC-01,OP-005,,LOT-2023-039,386,12.0
2023-02-25,A,MC-03,OP-018,,LOT-2023-045,450,14.1
2024-04-21,C,MC-03,OP-017,BATCH-2023-0083,LOT-2024-090,382,9.8
2024-02-08,B,MC-02,OP-013,,LOT-2023-052,530,8.8
2023-11-25,A,MC-02,OP-019,BATCH-2023-0085,LOT-2024-018,247,8.2
2023-06-02,C,MC-03,OP-001,BATCH-2023-0086,LOT-2023-200,247,11.0
2024-05-04,A,MC-01,OP-019,BATCH-2023-0087,LOT-2023-015,412,17.9
2023-03-26,A,MC-02,OP-013,BATCH-2023-0088,LOT-2024-024,224,14.3
2023-06-05,C,MC-04,OP-014,,LOT-2023-041,438,15.5
2023-05-23,C,MC-01,OP-004,BATCH-2023-0090,LOT-2023-156,257,11.8
2023-04-18,C,MC-01,OP-015,BATCH-2023-0091,LOT-2023-011,269,15.2
2024-06-25,C,MC-02,OP-002,BATCH-2023-0092,LOT-2023-051,350,13.7
2024-03-17,C,MC-02,OP-015,BATCH-2023-0093,LOT-2024-054,533,16.8
2023-11-05,B,MC-02,OP-004,BATCH-2023-0094,LOT-2023-039,246,10.8
2024-02-09,C,MC-03,OP-005,BATCH-2023-0095,LOT-2023-087,276,14.0
2024-01-20,B,MC-03,OP-013,BATCH-2023-0096,LOT-2023-152,233,16.1
2023-01-02,C,MC-04,OP-001,BATCH-2023-0097,LOT-2024-033,597,9.0
2024-04-09,B,MC-05,OP-011,BATCH-2023-0098,LOT-2023-071,476,11.7
2023-11-11,A,MC-02,OP-001,BATCH-2023-0099,LOT-2023-007,272,17.9
2023-02-25,B,MC-02,OP-018,BATCH-2023-0100,LOT-2023-093,453,10.8
2023-06-20,A,MC-04,OP-014,BATCH-2023-0101,LOT-2023-114,502,8.2
2023-08-22,A,MC-03,OP-011,BATCH-2023-0102,LOT-2023-073,333,17.5
2023-06-12,B,MC-01,OP-008,BATCH-2023-0103,LOT-2023-057,230,9.2
2024-01-07,C,MC-04,OP-012,BATCH-2023-0104,LOT-2024-145,416,16.9
2023-11-12,C,MC-03,OP-012,BATCH-2023-0105,LOT-2023-095,345,12.3
2023-06-26,A,MC-03,OP-015,BATCH-2023-0106,LOT-2024-123,422,8.0
2023-02-15,C,MC-01,OP-002,,LOT-2023-197,306,8.3
2024-02-27,B,MC-01,OP-016,BATCH-2023-0108,LOT-2023-026,282,12.2
2023-02-13,C,MC-03,OP-015,,LOT-2023-133,254,9.5
2023-02-01,B,MC-01,OP-007,BATCH-2023-0110,LOT-2023-088,460,8.4
2024-04-08,A,MC-03,OP-003,BATCH-2023-0111,LOT-2023-014,224,16.1
2023-10-22,B,MC-02,OP-004,BATCH-2023-0112,LOT-2024-126,560,10.0
2023-01-18,C,MC-03,OP-015,BATCH-2023-0113,LOT-2024-047,418,15.0
2023-09-17,A,MC-03,OP-007,BATCH-2023-0114,LOT-2023-053,543,16.0
2023-07-25,B,MC-03,OP-014,BATCH-2023-0115,LOT-2024-041,401,12.4
2023-06-02,A,MC-02,OP-016,,LOT-2024-150,209,8.3
2023-09-30,B,MC-05,OP-001,,LOT-2024-109,586,8.7
2023-04-30,B,MC-01,OP-009,BATCH-2023-0118,LOT-2024-151,219,8.2
2023-09-26,C,MC-01,OP-019,BATCH-2023-0119,LOT-2023-140,587,15.0
2023-10-04,C,MC-01,OP-011,BATCH-2023-0120,LOT-2023-081,288,8.4
2024-05-28,B,MC-04,OP-020,BATCH-2023-0121,LOT-2024-166,470,17.9
2023-08-18,B,MC-01,OP-014,BATCH-2023-0122,LOT-2023-051,395,14.0
2023-10-27,A,MC-02,OP-016,BATCH-2023-0123,LOT-2024-098,346,17.5
2024-05-11,A,MC-03,OP-014,BATCH-2023-0124,LOT-2024-064,293,10.1
2024-06-11,A,MC-05,OP-015,BATCH-2023-0125,LOT-2024-150,207,8.7
2023-09-28,A,MC-04,OP-002,BATCH-2023-0126,LOT-2024-170,463,12.6
2023-06-25,A,MC-01,OP-009,,LOT-2023-106,248,16.5
2023-03-27,C,MC-05,OP-017,BATCH-2023-0128,LOT-2024-176,504,13.0
2024-04-04,A,MC-05,OP-017,BATCH-2023-0129,LOT-2023-022,520,13.9
2023-10-24,B,MC-03,OP-010,BATCH-2023-0130,LOT-2023-019,473,9.4
2023-05-04,A,MC-05,OP-015,BATCH-2023-0131,LOT-2024-134,459,11.7
2023-01-12,B,MC-05,OP-002,BATCH-2023-0132,LOT-2023-016,414,12.7
2024-04-29,B,MC-05,OP-003,BATCH-2023-0133,LOT-2023-047,353,14.0
2023-04-04,B,MC-05,OP-009,BATCH-2023-0134,LOT-2023-041,284,14.0
2024-03-09,B,MC-05,OP-016,BATCH-2023-0135,LOT-2023-119,540,14.4
2023-10-01,B,MC-01,OP-019,BATCH-2023-0136,LOT-2024-059,416,9.1
2024-03-13,A,MC-04,OP-010,BATCH-2023-0137,LOT-2024-142,545,16.9
2023-08-18,B,MC-05,OP-013,,LOT-2024-091,293,10.9
2023-02-16,C,MC-04,OP-013,BATCH-2023-0139,LOT-2024-180,479,10.5
2023-09-29,C,MC-03,OP-005,BATCH-2023-0140,LOT-2024-007,233,12.4
2023-06-06,A,MC-03,OP-019,BATCH-2023-0141,LOT-2024-027,589,10.4
2024-02-21,C,MC-02,OP-009,BATCH-2023-0142,LOT-2023-001,473,12.0
2024-05-28,B,MC-04,OP-016,BATCH-2023-0143,LOT-2023-112,277,17.9
2024-06-23,A,MC-01,OP-010,,LOT-2023-109,237,10.1
2023-04-26,C,MC-02,OP-007,BATCH-2023-0145,LOT-2023-092,565,12.1
2023-08-27,A,MC-03,OP-006,BATCH-2023-0146,LOT-2024-185,327,8.4
2023-09-18,C,MC-01,OP-006,BATCH-2023-0147,LOT-2023-103,384,17.1
2023-10-13,C,MC-01,OP-014,BATCH-2023-0148,LOT-2024-038,362,14.5
2023-07-17,C,MC-04,OP-013,,LOT-2024-071,232,12.7
2024-05-10,C,MC-03,OP-020,BATCH-2023-0150,LOT-2023-198,475,13.7
2023-02-12,C,MC-02,OP-004,BATCH-2023-0151,LOT-2023-103,339,8.8
2023-10-05,C,MC-02,OP-013,BATCH-2023-0152,LOT-2023-058,520,11.8
2023-09-29,C,MC-02,OP-019,BATCH-2023-0153,LOT-2024-158,402,15.0
2024-03-26,A,MC-03,OP-011,BATCH-2023-0154,LOT-2024-146,501,10.6
2023-11-18,A,MC-05,OP-006,BATCH-2023-0155,LOT-2023-029,229,16.4
2024-05-04,C,MC-01,OP-012,BATCH-2023-0156,LOT-2023-179,258,8.7
2023-03-22,C,MC-05,OP-013,BATCH-2023-0157,LOT-2023-059,306,12.2
2023-09-12,B,MC-03,OP-012,BATCH-2023-0158,LOT-2023-026,506,8.6
2024-05-12,C,MC-05,OP-010,BATCH-2023-0159,LOT-2023-007,269,11.0
2023-09-14,B,MC-03,OP-018,BATCH-2023-0160,LOT-2023-076,514,12.3
2024-05-24,B,MC-02,OP-001,BATCH-2023-0161,LOT-2023-084,359,11.1
2024-01-08,A,MC-05,OP-015,BATCH-2023-0162,LOT-2024-088,600,17.5
2023-11-23,A,MC-04,OP-005,BATCH-2023-0163,LOT-2023-130,324,16.6
2024-01-14,C,MC-02,OP-014,BATCH-2023-0164,LOT-2024-098,372,15.0
2023-02-25,C,MC-03,OP-008,BATCH-2023-0165,LOT-2024-162,227,8.1
2024-03-11,B,MC-02,OP-015,BATCH-2023-0166,LOT-2023-031,419,17.6
2024-05-04,B,MC-05,OP-003,BATCH-2023-0167,LOT-2024-080,399,8.3
2023-03-22,A,MC-03,OP-017,BATCH-2023-0168,LOT-2024-182,328,13.3
2024-06-13,C,MC-01,OP-004,,LOT-2024-016,442,13.9
2024-02-10,A,MC-02,OP-019,BATCH-2023-0170,LOT-2024-144,504,16.8
2024-01-02,C,MC-04,OP-009,BATCH-2023-0171,LOT-2023-070,284,14.4
2024-03-11,A,MC-01,OP-007,,LOT-2023-187,470,10.5
2024-05-05,C,MC-04,OP-018,BATCH-2023-0173,LOT-2023-111,224,12.6
2023-12-25,C,MC-02,OP-010,BATCH-2023-0174,LOT-2023-095,265,9.2
2023-08-27,B,MC-01,OP-002,BATCH-2023-0175,LOT-2024-065,546,17.4
2023-09-18,B,MC-02,OP-007,BATCH-2023-0176,LOT-2024-074,239,9.1
2023-07-18,C,MC-04,OP-020,BATCH-2023-0177,LOT-2024-074,575,16.2
2023-03-28,A,MC-02,OP-010,BATCH-2023-0178,LOT-2024-199,530,14.4
2023-06-20,C,MC-05,OP-013,BATCH-2023-0179,LOT-2023-008,550,9.7
2023-03-16,C,MC-01,OP-003,,LOT-2024-183,510,15.8
2023-09-10,A,MC-01,OP-013,BATCH-2023-0181,LOT-2024-085,511,17.9
2023-08-24,A,MC-03,OP-008,BATCH-2023-0182,LOT-2023-069,356,8.1
2023-04-17,B,MC-04,OP-017,BATCH-2023-0183,LOT-2023-184,346,13.1
2023-03-10,B,MC-03,OP-009,BATCH-2023-0184,LOT-2024-045,334,12.3
2024-06-28,C,MC-05,OP-007,,LOT-2024-177,430,15.0
2023-04-20,A,MC-02,OP-018,BATCH-2023-0186,LOT-2024-062,433,17.6
2024-06-08,C,MC-05,OP-019,BATCH-2023-0187,LOT-2024-138,417,17.9
2024-06-24,A,MC-03,OP-011,BATCH-2023-0188,LOT-2023-196,446,13.8
2023-05-17,C,MC-02,OP-009,BATCH-2023-0189,LOT-2023-071,392,10.3
2023-04-02,B,MC-02,OP-007,BATCH-2023-0190,LOT-2024-182,485,14.5
2024-04-05,A,MC-02,OP-004,BATCH-2023-0191,LOT-2023-061,530,14.6
2024-05-26,C,MC-02,OP-006,BATCH-2023-0192,LOT-2024-041,464,16.7
2023-02-20,A,MC-01,OP-001,BATCH-2023-0193,LOT-2023-043,294,10.3
2023-01-03,B,MC-04,OP-013,BATCH-2023-0194,LOT-2023-178,258,8.5
2023-01-31,A,MC-05,OP-003,BATCH-2023-0195,LOT-2024-184,351,9.9
2024-01-28,A,MC-05,OP-010,BATCH-2023-0196,LOT-2024-016,363,14.5
2023-03-29,C,MC-02,OP-007,BATCH-2023-0197,LOT-2023-124,361,11.1
2023-11-20,C,MC-01,OP-015,,LOT-2023-009,584,12.0
2023-07-06,C,MC-05,OP-013,BATCH-2023-0199,LOT-2024-072,424,16.3
2023-12-06,C,MC-04,OP-014,BATCH-2023-0200,LOT-2023-112,337,8.9
2023-01-14,A,MC-01,OP-008,BATCH-2023-0201,LOT-2024-095,344,8.0
2024-04-02,C,MC-03,OP-020,BATCH-2023-0202,LOT-2024-026,440,8.4
2023-01-16,A,MC-03,OP-018,BATCH-2023-0203,LOT-2023-111,272,11.8
2024-02-19,A,MC-05,OP-008,BATCH-2023-0204,LOT-2024-156,476,12.3
2024-06-16,C,MC-04,OP-020,BATCH-2023-0205,LOT-2023-121,237,11.6
2024-01-15,A,MC-05,OP-015,BATCH-2023-0206,LOT-2024-047,393,8.2
2023-08-31,C,MC-03,OP-015,BATCH-2023-0207,LOT-2023-023,523,13.2
2023-07-11,C,MC-01,OP-019,BATCH-2023-0208,LOT-2023-078,388,17.3
2023-03-16,A,MC-04,OP-016,BATCH-2023-0209,LOT-2024-086,433,10.9
2023-04-03,C,MC-02,OP-003,BATCH-2023-0210,LOT-2023-125,249,13.4
2023-05-29,B,MC-02,OP-014,BATCH-2023-0211,LOT-2023-156,336,9.8
2023-05-25,A,MC-04,OP-002,BATCH-2023-0212,LOT-2024-086,562,16.8
2023-09-28,A,MC-05,OP-012,BATCH-2023-0213,LOT-2024-069,548,10.9
2024-05-12,A,MC-01,OP-019,BATCH-2023-0214,LOT-2024-112,272,9.3
2024-01-11,C,MC-01,OP-003,BATCH-2023-0215,LOT-2023-182,523,12.0
2023-12-17,A,MC-02,OP-009,BATCH-2023-0216,LOT-2024-014,440,17.9
2024-05-30,B,MC-01,OP-002,BATCH-2023-0217,LOT-2024-185,245,12.9
2024-06-13,B,MC-02,OP-003,BATCH-2023-0218,LOT-2023-177,269,17.9
2023-03-16,A,MC-03,OP-018,BATCH-2023-0219,LOT-2024-002,528,15.0
2023-03-02,A,MC-05,OP-006,BATCH-2023-0220,LOT-2023-148,437,16.9
2023-04-22,A,MC-01,OP-012,BATCH-2023-0221,LOT-2023-081,316,17.5
2024-03-27,B,MC-01,OP-014,,LOT-2023-052,503,11.1
2023-01-16,C,MC-01,OP-017,BATCH-2023-0223,LOT-2024-066,493,15.9
2023-12-02,A,MC-05,OP-017,BATCH-2023-0224,LOT-2024-059,439,12.1
2023-08-07,B,MC-04,OP-004,BATCH-2023-0225,LOT-2024-034,411,16.4
2023-04-01,B,MC-05,OP-003,BATCH-2023-0226,LOT-2023-122,309,17.0
2023-03-14,B,MC-05,OP-020,,LOT-2024-086,406,10.2
2023-07-07,C,MC-03,OP-015,BATCH-2023-0228,LOT-2024-076,331,13.2
2023-09-05,B,MC-03,OP-018,BATCH-2023-0229,LOT-2023-108,422,8.4
2024-03-15,C,MC-03,OP-010,BATCH-2023-0230,LOT-2023-151,477,13.0
2023-11-07,C,MC-03,OP-013,BATCH-2023-0231,LOT-2024-059,270,13.4
2023-12-05,B,MC-01,OP-013,BATCH-2023-0232,LOT-2023-115,384,12.5
2023-12-10,A,MC-02,OP-019,BATCH-2023-0233,LOT-2023-094,293,15.3
2023-01-10,B,MC-01,OP-002,BATCH-2023-0234,LOT-2023-139,452,14.3
2023-11-13,A,MC-02,OP-004,BATCH-2023-0235,LOT-2023-171,242,18.0
2024-04-18,C,MC-01,OP-005,BATCH-2023-0236,LOT-2024-025,368,16.1
2024-03-31,A,MC-02,OP-001,BATCH-2023-0237,LOT-2024-014,407,15.2
2024-01-15,A,MC-02,OP-001,BATCH-2023-0238,LOT-2024-069,242,14.7
2023-07-06,A,MC-01,OP-006,BATCH-2023-0239,LOT-2024-145,413,15.6
2023-02-21,C,MC-02,OP-012,BATCH-2023-0240,LOT-2024-029,535,14.9
2023-09-23,A,MC-04,OP-004,BATCH-2023-0241,LOT-2024-009,591,12.4
2023-07-15,B,MC-05,OP-012,BATCH-2023-0242,LOT-2024-153,529,8.3
2023-08-25,B,MC-03,OP-020,,LOT-2023-013,310,17.7
2023-01-13,A,MC-01,OP-007,BATCH-2023-0244,LOT-2023-001,419,8.5
2023-10-19,C,MC-01,OP-008,BATCH-2023-0245,LOT-2023-139,534,11.4
2023-06-28,A,MC-03,OP-019,BATCH-2023-0246,LOT-2024-089,374,9.5
2024-01-06,B,MC-05,OP-019,,LOT-2023-009,206,14.4
2024-02-12,C,MC-04,OP-015,,LOT-2024-141,444,10.6
2023-09-05,C,MC-02,OP-007,BATCH-2023-0249,LOT-2024-178,491,16.5
2023-11-11,B,MC-04,OP-015,,LOT-2024-058,393,15.6
2023-06-10,C,MC-03,OP-001,BATCH-2023-0251,LOT-2024-003,237,12.9
2024-01-24,A,MC-03,OP-004,BATCH-2023-0252,LOT-2024-034,435,13.4
2023-07-08,C,MC-02,OP-008,BATCH-2023-0253,LOT-2023-161,313,11.1
2023-04-08,C,MC-01,OP-014,BATCH-2023-0254,LOT-2023-189,546,8.5
2023-09-08,A,MC-02,OP-004,BATCH-2023-0255,LOT-2024-131,245,11.8
2024-03-30,B,MC-03,OP-015,BATCH-2023-0256,LOT-2023-158,371,15.5
2024-04-06,C,MC-05,OP-014,BATCH-2023-0257,LOT-2023-023,359,9.7
2023-02-17,A,MC-01,OP-005,BATCH-2023-0258,LOT-2023-108,434,11.7
2024-06-17,B,MC-01,OP-020,BATCH-2023-0259,LOT-2023-066,264,8.0
2024-03-31,A,MC-05,OP-001,BATCH-2023-0260,LOT-2023-089,292,9.9
2023-06-22,C,MC-01,OP-017,BATCH-2023-0261,LOT-2023-018,493,17.1
2023-01-05,A,MC-01,OP-017,,LOT-2024-145,423,10.1
2024-01-16,B,MC-05,OP-015,BATCH-2023-0263,LOT-2023-187,553,17.7
2023-06-21,A,MC-01,OP-011,BATCH-2023-0264,LOT-2023-098,321,12.8
2023-08-10,C,MC-05,OP-016,BATCH-2023-0265,LOT-2024-156,288,16.0
2023-10-10,C,MC-02,OP-006,BATCH-2023-0266,LOT-2024-014,569,15.5
2023-06-16,C,MC-03,OP-018,BATCH-2023-0267,LOT-2023-046,265,14.3
2023-08-23,B,MC-03,OP-016,BATCH-2023-0268,LOT-2023-016,342,14.5
2023-05-15,B,MC-05,OP-020,BATCH-2023-0269,LOT-2023-017,563,10.0
2023-01-11,A,MC-02,OP-002,BATCH-2023-0270,LOT-2023-189,524,10.1
2023-02-21,A,MC-04,OP-016,BATCH-2023-0271,LOT-2023-057,383,16.5
2023-05-11,A,MC-01,OP-005,BATCH-2023-0272,LOT-2023-063,457,8.9
2023-12-10,A,MC-01,OP-012,BATCH-2023-0273,LOT-2024-065,566,15.9
2023-08-25,C,MC-01,OP-020,BATCH-2023-0274,LOT-2024-118,475,10.2
2023-03-14,C,MC-01,OP-014,BATCH-2023-0275,LOT-2023-167,549,16.8
2023-03-17,A,MC-02,OP-019,BATCH-2023-0276,LOT-2024-097,583,17.6
2023-08-12,C,MC-05,OP-009,BATCH-2023-0277,LOT-2023-068,234,14.2
2024-02-06,A,MC-01,OP-014,,LOT-2023-146,449,8.1
2023-02-27,B,MC-04,OP-015,BATCH-2023-0279,LOT-2024-143,585,16.8
2023-02-11,A,MC-01,OP-019,BATCH-2023-0280,LOT-2023-180,462,16.0
2024-01-06,B,MC-03,OP-002,BATCH-2023-0281,LOT-2023-078,425,17.7
2024-02-05,C,MC-02,OP-019,BATCH-2023-0282,LOT-2024-155,413,11.4
2023-11-06,A,MC-02,OP-013,BATCH-2023-0283,LOT-2024-043,268,12.3
2023-05-01,B,MC-02,OP-011,BATCH-2023-0284,LOT-2024-038,535,13.5
2023-11-25,C,MC-01,OP-018,BATCH-2023-0285,LOT-2023-026,576,12.9
2023-04-11,C,MC-03,OP-003,BATCH-2023-0286,LOT-2024-038,536,14.0
2024-01-25,A,MC-02,OP-010,BATCH-2023-0287,LOT-2023-052,435,17.7
2023-07-11,A,MC-02,OP-009,BATCH-2023-0288,LOT-2023-094,303,17.5
2023-02-05,B,MC-05,OP-016,,LOT-2023-020,407,8.3
2023-10-01,C,MC-05,OP-009,BATCH-2023-0290,LOT-2024-200,455,11.3
2024-04-09,C,MC-03,OP-007,BATCH-2023-0291,LOT-2024-185,384,17.7
2024-03-23,C,MC-05,OP-017,BATCH-2023-0292,LOT-2024-070,395,17.6
2023-03-07,A,MC-03,OP-010,BATCH-2023-0293,LOT-2023-072,389,8.2
2023-01-09,B,MC-05,OP-003,BATCH-2023-0294,LOT-2024-159,374,9.9
2024-02-13,B,MC-05,OP-013,BATCH-2023-0295,LOT-2023-083,403,11.0
2024-04-02,B,MC-02,OP-008,,LOT-2023-062,388,15.8
2023-05-02,B,MC-01,OP-009,BATCH-2023-0297,LOT-2023-099,533,13.4
2023-07-20,B,MC-03,OP-010,BATCH-2023-0298,LOT-2023-107,309,15.2
2023-02-27,B,MC-02,OP-004,BATCH-2023-0299,LOT-2024-057,548,17.0
2023-01-31,B,MC-02,OP-005,BATCH-2023-0300,LOT-2023-127,261,8.8
2024-04-02,B,MC-03,OP-006,BATCH-2023-0301,LOT-2024-082,421,16.9
2024-06-01,C,MC-04,OP-002,BATCH-2023-0302,LOT-2024-069,257,13.0
2023-06-17,B,MC-02,OP-008,BATCH-2023-0303,LOT-2023-178,427,12.6
2023-05-16,B,MC-02,OP-007,BATCH-2023-0304,LOT-2024-103,439,8.0
2023-10-13,B,MC-02,OP-015,BATCH-2023-0305,LOT-2023-196,474,8.6
2024-01-12,A,MC-04,OP-006,,LOT-2023-010,573,9.3
2023-11-13,A,MC-01,OP-014,BATCH-2023-0307,LOT-2024-119,213,14.0
2023-08-21,B,MC-05,OP-003,BATCH-2023-0308,LOT-2023-197,453,17.9
2023-02-05,B,MC-03,OP-005,BATCH-2023-0309,LOT-2023-051,465,15.8
2023-06-30,C,MC-04,OP-008,BATCH-2023-0310,LOT-2023-154,376,9.3
2024-01-18,A,MC-02,OP-006,BATCH-2023-0311,LOT-2024-169,277,14.4
2024-03-29,A,MC-01,OP-010,BATCH-2023-0312,LOT-2023-134,386,16.5
2023-08-16,B,MC-01,OP-017,BATCH-2023-0313,LOT-2023-034,379,17.7
2024-04-25,B,MC-01,OP-017,BATCH-2023-0314,LOT-2023-013,295,11.9
2024-05-24,A,MC-01,OP-016,BATCH-2023-0315,LOT-2023-052,263,9.6
2023-04-13,C,MC-02,OP-003,BATCH-2023-0316,LOT-2023-143,452,14.7
